# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# OV02 CONFIRMED 2026-07-25: quotation collector + sourcing coordinator + procurement consultant + supplier referral network + supplier directory + price-information publisher (restricted). NOT selected: direct seller, logistics coordinator.
segment,parent_category,subcategory,material,grade_spec_examples,unit,user_problem,audience,project_stage,current_domain_owner,existing_url,existing_repo_source,delivery_model,evidence_status,commercial_relevance,search_intent_families,local_applicability,owner_confirmation_required,research_priority
Construction materials,Structural materials,Primary,Cement,"OPC 43, OPC 53, PPC, PSC",bag (50kg),Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,/materials/cement,data/seo/materials.js,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P1
Construction materials,Structural materials,Primary,TMT steel,"Fe500, Fe500D, Fe550D; 8–32mm",MT / kg,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,/materials/tmt-steel,data/seo/materials.js,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P1
Construction materials,Structural materials,Primary,Structural steel,"ISMB, ISMC, ISA, plates (IS 2062)",MT,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,/materials/fabrication-steel,app route,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P2
Construction materials,Structural materials,Primary,M-Sand,Plastering / concreting grade,unit / ton,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,/materials/msand-psand,data/seo/materials.js,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P1
Construction materials,Structural materials,Primary,P-Sand,Plastering grade,unit / ton,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,/materials/msand-psand,data/seo/materials.js,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P2
Construction materials,Structural materials,Primary,River sand & alternatives,Natural / manufactured,unit,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,/materials/sand,legacy route (merge candidate),"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P3
Construction materials,Structural materials,Primary,Blue metal / aggregates,"20mm, 12mm, 40mm",unit / ton,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,PENDING_ARCH_DECISION,data/seo/materials.js,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P2
Construction materials,Structural materials,Primary,Ready-mix concrete (RMC),"M20, M25, M30, M35, M40",m³,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,/materials/rmc,app route,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P1
Construction materials,Structural materials,Primary,Red bricks,Class designation,nos / 1000,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,/materials/bricks,legacy route (merge candidate),"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P2
Construction materials,Structural materials,Primary,Fly-ash bricks,IS 12894,nos,Rate opacity / grade substitution risk,"Homeowner, builder, industrialist",Procurement,Buildogram,PENDING_ARCH_DECISION,data/seo/materials.js,"CONFIRMED (OV02): quotation collector + sourcing coordinator + procurement consultant + supplier referral + supplier directory + price-information publisher (restricted). Supplier issues quotation, invoices customer and owns availability/quality/GST/transport.","Model confirmed 2026-07-25. Remaining: supplier count, onboarding procedure, listing update frequency, quotation workflow, fee/commission disclosure, GST/transport treatment, delivery coverage, price-observation method and cadence.",HIGH,"commercial,transactional,informational,local",Chennai + delivery radius (unconfirmed),RESOLVED for model; 15 operational confirmations still open,P3
