URL,claim,standard,standard edition,source,reviewer,review date,status,risk,required action
/about,"description: 'Civil & structural engineer specialised in foundation design, pile dynamics, and Chennai soil profiles. Oversees all geotechnical checks and IS code compliance.',",IS code,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/about,"{ year: '2024', event: 'Expanded to NDT Testing & Pile Foundation Services', detail: 'Added Non-Destructive Testing (NDT) for structural audits and specialized pile foundation design for Chennai\'s challenging coastal soil conditions.' },",NDT,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/about,"description: 'Buildogram is founded by civil and structural engineers from Chennai. We provide independent BOQ review, structural audits, site supervision, and permanent property documentation.',",structural audit,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ai/site-assistant,"processSteps={[{""step"":""01"",""title"":""Ask a Question"",""desc"":""e.g., \""What is the mix ratio for M25 concrete?\""""},{""step"":""02"",""title"":""Instant Answer"",""desc"":""Get answers based on IS Codes (Indian Standard Codes).""}]}",IS code,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ai/site-assistant,"processSteps={[{""step"":""01"",""title"":""Ask a Question"",""desc"":""e.g., \""What is the mix ratio for M25 concrete?\""""},{""step"":""02"",""title"":""Instant Answer"",""desc"":""Get answers based on IS Codes (Indian Standard Codes).""}]}",Indian Standard,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ai-floor-plan-creator,"serviceDetails={[{""title"":""Vastu Presets"",""desc"":""Generate layouts that adhere to basic Vastu principles.""},{""title"":""Setback Calculations"",""desc"":""Automatically leaving space for CMDA rules.""}]}",CMDA,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ai-material-estimator,"'Calculate exact material quantities for your Chennai construction project. AI-estimated cement bags, TMT steel MT, brick count and more. Based on IS codes. Updated July 2026.',",IS code,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ai-material-estimator,"{ name: 'UPVC Windows', qty: '420 sqft', icon: '🪟' },",UPV,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ai-property-passport-assistant/PropertyPassportClient.jsx,"checklist.push(""Request the CMDA/DTCP Completion Certificate"");",CMDA,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
/ai-property-passport-assistant/PropertyPassportClient.jsx,"checklist.push(""Request the CMDA/DTCP Completion Certificate"");",DTCP,Unknown,Codebase,Pending Review,,Unverified,High,Needs Engineering Sign-off
