# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# Every one of the 183 rows individually classified. 'Evidence in operating workflow' is NOT_OBSERVED for all rows — no operational data was available. Modifiers, customer problems and project stages were NOT counted as services.
service,segment,row_classification,evidence_in_repository,evidence_in_operating_workflow,owner_confirmation,relevant_domain,commercial_eligibility,informational_eligibility,schema_eligibility,page_eligibility,consolidation_parent,action
House construction,Construction execution,Unsupported until owner confirms delivery model,YES — /home-construction-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,Construction execution,REMOVE FROM COMMERCIAL PLANNING
Home construction (G+1),Construction execution,Unsupported until owner confirms delivery model,YES — /home-construction-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,Construction execution,REMOVE FROM COMMERCIAL PLANNING
Home construction (G+2),Construction execution,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Construction execution,REMOVE FROM COMMERCIAL PLANNING
Villa construction,Construction execution,Unsupported until owner confirms delivery model,YES — /build/villa-construction,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,Construction execution,REMOVE FROM COMMERCIAL PLANNING
Duplex house construction,Construction execution,Unsupported until owner confirms delivery model,YES — /services/duplex-house-construction,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,Construction execution,REMOVE FROM COMMERCIAL PLANNING
Residential construction,Construction execution,Unsupported until owner confirms delivery model,YES — /residential-construction-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,Construction execution,REMOVE FROM COMMERCIAL PLANNING
Apartment construction,Construction execution,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Construction execution,REMOVE FROM COMMERCIAL PLANNING
Commercial construction,Construction execution,Unsupported until owner confirms delivery model,YES — /commercial-construction-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,Construction execution,REMOVE FROM COMMERCIAL PLANNING
Office construction,Construction execution,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Construction execution,REMOVE FROM COMMERCIAL PLANNING
Shop / retail construction,Construction execution,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Construction execution,REMOVE FROM COMMERCIAL PLANNING
School construction,Construction execution,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Construction execution,REMOVE FROM COMMERCIAL PLANNING
Hospital construction,Construction execution,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Construction execution,REMOVE FROM COMMERCIAL PLANNING
Hotel construction,Construction execution,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Construction execution,REMOVE FROM COMMERCIAL PLANNING
Industrial construction,Construction execution,Unsupported until owner confirms delivery model,YES — /industrial-shed-construction-chennai,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Article/FAQ only,Existing page — improve/consolidate,Construction execution,REMOVE FROM COMMERCIAL PLANNING
Factory construction,Construction execution,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Construction execution,REMOVE FROM COMMERCIAL PLANNING
Warehouse construction,Construction execution,Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Construction execution,REMOVE FROM COMMERCIAL PLANNING
