# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# EXPANDED to 29 pillars × 16 question types. EVERY row is an expert hypothesis, NOT an observed search — no autocomplete/PAA/GSC source was available. Do not present these as demand evidence.
pillar,question_type,question,discovery_source,observed_or_hypothesised,domain_owner,intended_answer_format,evidence_required,expert_review_required,existing_answering_url,citation_potential,implementation_status
Main construction,Definition,What is main construction and what does it involve?,Expert hypothesis — construction/property decision-journey reasoning,HYPOTHESISED — NOT an observed search,Buildogram,Glossary/definition block,Expert-reviewed source,YES,PENDING — assign after 51-content-format-decision-matrix,HIGH — decision-journey answers are the primary AI-citation surface,NOT_AUTHORISED — research only
Main construction,Cost,What does main construction cost in Chennai and what drives the price?,Expert hypothesis — construction/property decision-journey reasoning,HYPOTHESISED — NOT an observed search,Buildogram,Cost guide (dated methodology required),Dated methodology,YES,PENDING — assign after 51-content-format-decision-matrix,HIGH — decision-journey answers are the primary AI-citation surface,NOT_AUTHORISED — research only
Main construction,Scope,What is included and excluded in main construction?,Expert hypothesis — construction/property decision-journey reasoning,HYPOTHESISED — NOT an observed search,Buildogram,FAQ / guide section,Expert-reviewed source,YES,PENDING — assign after 51-content-format-decision-matrix,HIGH — decision-journey answers are the primary AI-citation surface,NOT_AUTHORISED — research only
Main construction,Comparison,How does main construction compare with the main alternative?,Expert hypothesis — construction/property decision-journey reasoning,HYPOTHESISED — NOT an observed search,Buildogram,Comparison table,Expert-reviewed source,YES,PENDING — assign after 51-content-format-decision-matrix,HIGH — decision-journey answers are the primary AI-citation surface,NOT_AUTHORISED — research only
Main construction,Qualification,Who is qualified to perform main construction?,Expert hypothesis — construction/property decision-journey reasoning,HYPOTHESISED — NOT an observed search,Buildogram,FAQ / guide section,Credentials + registration scheme,YES,PENDING — assign after 51-content-format-decision-matrix,HIGH — decision-journey answers are the primary AI-citation surface,NOT_AUTHORISED — research only
Main construction,Process,What is the step-by-step process for main construction?,Expert hypothesis — construction/property decision-journey reasoning,HYPOTHESISED — NOT an observed search,Buildogram,Numbered process,Expert-reviewed source,YES,PENDING — assign after 51-content-format-decision-matrix,HIGH — decision-journey answers are the primary AI-citation surface,NOT_AUTHORISED — research only
Main construction,Timeline,How long does main construction take?,Expert hypothesis — construction/property decision-journey reasoning,HYPOTHESISED — NOT an observed search,Buildogram,FAQ / guide section,Expert-reviewed source,YES,PENDING — assign after 51-content-format-decision-matrix,HIGH — decision-journey answers are the primary AI-citation surface,NOT_AUTHORISED — research only
Main construction,Risk,What can go wrong with main construction?,Expert hypothesis — construction/property decision-journey reasoning,HYPOTHESISED — NOT an observed search,Buildogram,FAQ / guide section,Expert-reviewed source,YES,PENDING — assign after 51-content-format-decision-matrix,HIGH — decision-journey answers are the primary AI-citation surface,NOT_AUTHORISED — research only
Main construction,Mistake,What mistakes do people make with main construction?,Expert hypothesis — construction/property decision-journey reasoning,HYPOTHESISED — NOT an observed search,Buildogram,FAQ / guide section,Expert-reviewed source,YES,PENDING — assign after 51-content-format-decision-matrix,HIGH — decision-journey answers are the primary AI-citation surface,NOT_AUTHORISED — research only
Main construction,Documents,What documents result from or are needed for main construction?,Expert hypothesis — construction/property decision-journey reasoning,HYPOTHESISED — NOT an observed search,Buildogram,Checklist,Expert-reviewed source,YES,PENDING — assign after 51-content-format-decision-matrix,HIGH — decision-journey answers are the primary AI-citation surface,NOT_AUTHORISED — research only
Main construction,Chennai-specific,What is specific to main construction in Chennai?,Expert hypothesis — construction/property decision-journey reasoning,HYPOTHESISED — NOT an observed search,Buildogram,FAQ / guide section,Expert-reviewed source,YES,PENDING — assign after 51-content-format-decision-matrix,HIGH — decision-journey answers are the primary AI-citation surface,NOT_AUTHORISED — research only
Main construction,Locality,Does main construction differ by Chennai locality?,Expert hypothesis — construction/property decision-journey reasoning,HYPOTHESISED — NOT an observed search,Buildogram,Locality hub section,Expert-reviewed source,YES,PENDING — assign after 51-content-format-decision-matrix,HIGH — decision-journey answers are the primary AI-citation surface,NOT_AUTHORISED — research only
