cluster_token,url_count,urls,status,primary_canonical,action,evidence_required,notes
materials,29,/faqs/materials | /materials | /materials/aggregates | /materials/blocks | /materials/bricks | /materials/bricks-aac-blocks | /materials/cement | /materials/construction-chemicals | /materials/doors-windows | /materials/electrical | /materials/electrical-plumbing | /materials/fabrication-steel | /materials/finishing-materials | /materials/m-sand | /materials/msand-psand | /materials/network | /materials/paint | /materials/piling-foundation-materials | /materials/plumbing | /materials/ready-mix-concrete | /materials/request-quote | /materials/rmc | /materials/roofing | /materials/sand | /materials/steel | /materials/tiles | /materials/tmt-steel | /materials/waterproofing | /materials/wood,CANDIDATE_ONLY,PENDING_GSC,PENDING_GSC,GSC query-to-page mapping,Slug-overlap candidate. Owner rule: do not consolidate on title similarity alone.
boq,12,/ai-boq-checker | /ai-pile-foundation-boq-checker | /ai/boq-draft | /boq-audit | /boq-calculator | /boq-review-chennai | /compare/boq-review-vs-contractor-estimate | /faqs/boq | /glossary/boq | /guides/boq-checklist-for-homeowners | /guides/what-is-boq-in-construction | /services/boq-review,CANDIDATE_ONLY,PENDING_GSC,PENDING_GSC,GSC query-to-page mapping,Slug-overlap candidate. Owner rule: do not consolidate on title similarity alone.
cost,7,/ai-construction-cost-estimator | /cost-estimator | /guides/construction-cost-per-square-foot-chennai | /guides/how-plan-design-affects-construction-cost | /guides/how-to-avoid-hidden-construction-costs | /review/hidden-costs | /services/construction-cost-consultation,CANDIDATE_ONLY,PENDING_GSC,PENDING_GSC,GSC query-to-page mapping,Slug-overlap candidate. Owner rule: do not consolidate on title similarity alone.
plan-review,6,/ai/plan-review | /faqs/plan-review | /guides/house-plan-review-checklist | /plan-review | /services/house-plan-review | /structural-plan-review-chennai,CANDIDATE_ONLY,PENDING_GSC,PENDING_GSC,GSC query-to-page mapping,Slug-overlap candidate. Owner rule: do not consolidate on title similarity alone.
quote,5,/ai-contractor-quote-analyzer | /guides/how-to-compare-contractor-quotes | /guides/why-low-construction-quote-can-be-risky | /materials/request-quote | /review/contractor-quote,CANDIDATE_ONLY,PENDING_GSC,PENDING_GSC,GSC query-to-page mapping,Slug-overlap candidate. Owner rule: do not consolidate on title similarity alone.
steel,5,/glossary/fe500-steel | /materials/fabrication-steel | /materials/steel | /materials/tmt-steel | /steel-construction-chennai,CANDIDATE_ONLY,PENDING_GSC,PENDING_GSC,GSC query-to-page mapping,Slug-overlap candidate. Owner rule: do not consolidate on title similarity alone.
estimat,4,/ai-construction-cost-estimator | /ai-material-estimator | /compare/boq-review-vs-contractor-estimate | /cost-estimator,CANDIDATE_ONLY,PENDING_GSC,PENDING_GSC,GSC query-to-page mapping,Slug-overlap candidate. Owner rule: do not consolidate on title similarity alone.
waterproofing,4,/glossary/waterproofing | /guides/common-waterproofing-problems | /materials/waterproofing | /partners/waterproofing,CANDIDATE_ONLY,PENDING_GSC,PENDING_GSC,GSC query-to-page mapping,Slug-overlap candidate. Owner rule: do not consolidate on title similarity alone.
home-construction,3,/build/home-construction | /services/home-construction-for-rental-income | /services/home-construction-for-resale-value,CANDIDATE_ONLY,PENDING_GSC,PENDING_GSC,GSC query-to-page mapping,Slug-overlap candidate. Owner rule: do not consolidate on title similarity alone.
house-construction,3,/guides/house-construction-checklist-for-first-time-owners | /services/duplex-house-construction | /services/house-construction,CANDIDATE_ONLY,PENDING_GSC,PENDING_GSC,GSC query-to-page mapping,Slug-overlap candidate. Owner rule: do not consolidate on title similarity alone.
sand,3,/materials/m-sand | /materials/msand-psand | /materials/sand,CANDIDATE_ONLY,PENDING_GSC,PENDING_GSC,GSC query-to-page mapping,Slug-overlap candidate. Owner rule: do not consolidate on title similarity alone.
audit,2,/ai-structural-audit-intake | /boq-audit,CANDIDATE_ONLY,PENDING_GSC,PENDING_GSC,GSC query-to-page mapping,Slug-overlap candidate. Owner rule: do not consolidate on title similarity alone.
renovation,2,/build/renovation | /services/renovation-construction,CANDIDATE_ONLY,PENDING_GSC,PENDING_GSC,GSC query-to-page mapping,Slug-overlap candidate. Owner rule: do not consolidate on title similarity alone.
villa,2,/build/villa-construction | /services/villa-construction,CANDIDATE_ONLY,PENDING_GSC,PENDING_GSC,GSC query-to-page mapping,Slug-overlap candidate. Owner rule: do not consolidate on title similarity alone.
rmc,2,/glossary/rmc | /materials/rmc,CANDIDATE_ONLY,PENDING_GSC,PENDING_GSC,GSC query-to-page mapping,Slug-overlap candidate. Owner rule: do not consolidate on title similarity alone.
contractors,2,/partners/contractors | /peb-building-contractors-chennai,CANDIDATE_ONLY,PENDING_GSC,PENDING_GSC,GSC query-to-page mapping,Slug-overlap candidate. Owner rule: do not consolidate on title similarity alone.
