page_family,service_key,message_template,char_count,example_rendered
home,,Hi Buildogram, I have a construction project in Chennai and would like to discuss my options. {{pageUrl}},113,Hi Buildogram I have a construction project in Chennai and would like to discuss my options. https://www.buildogram.in/
service,house-construction,Hi Buildogram, I'm interested in {{serviceName}} in Chennai. Could you help me review my options? {{pageUrl}},128,Hi Buildogram I'm interested in House Construction in Chennai. Could you help me review my options? https://www.buildogram.in/services/house-construction
service,boq-review,Hi Buildogram, I have a contractor quote or BOQ I'd like to discuss. Could you help me review it? {{pageUrl}},130,Hi Buildogram I have a contractor quote or BOQ I'd like to discuss. Could you help me review it? https://www.buildogram.in/services/boq-review
service,structural-audit,Hi Buildogram, I'm interested in a structural audit for my building in Chennai. Could you discuss the process? {{pageUrl}},140,Hi Buildogram I'm interested in a structural audit for my building in Chennai. Could you discuss the process? https://www.buildogram.in/services/structural-audit
service-hub,,Hi Buildogram, I found your page on construction in Chennai and would like to discuss my project. {{pageUrl}},129,Hi Buildogram I found your page on construction in Chennai and would like to discuss my project. https://www.buildogram.in/boq-review-chennai
material,cement,Hi Buildogram, I need material sourcing support for my construction project in Chennai. {{pageUrl}},111,Hi Buildogram I need material sourcing support for my construction project in Chennai. https://www.buildogram.in/materials/cement
material,steel,Hi Buildogram, I need quotation support for steel and TMT bars for my construction project. {{pageUrl}},123,Hi Buildogram I need quotation support for steel and TMT bars for my construction project. https://www.buildogram.in/materials/steel
guide,,Hi Buildogram, I read your guide and have a question about my construction project in Chennai. {{pageUrl}},130,Hi Buildogram I read your guide and have a question about my construction project in Chennai. https://www.buildogram.in/guides/what-is-boq-in-construction
glossary,,Hi Buildogram, I was reading about {{term}} and have a question about my construction project. {{pageUrl}},127,Hi Buildogram I was reading about BOQ and have a question about my construction project. https://www.buildogram.in/glossary/boq
faq,,Hi Buildogram, I have a question about construction in Chennai after reading your FAQ. {{pageUrl}},110,Hi Buildogram I have a question about construction in Chennai after reading your FAQ. https://www.buildogram.in/faqs/construction
compare,,Hi Buildogram, I was comparing options and would like to discuss what suits my project best. {{pageUrl}},122,Hi Buildogram I was comparing options and would like to discuss what suits my project best. https://www.buildogram.in/compare/buildogram-vs-contractor
location-area,,Hi Buildogram, I have a construction project in {{locality}} Chennai and would like to discuss my options. {{pageUrl}},134,Hi Buildogram I have a construction project in Velachery Chennai and would like to discuss my options. https://www.buildogram.in/locations/chennai/velachery
location-service,,Hi Buildogram, I'm looking for {{serviceName}} in {{locality}} Chennai. Could you help? {{pageUrl}},111,Hi Buildogram I'm looking for BOQ Review in Velachery Chennai. Could you help? https://www.buildogram.in/locations/chennai/velachery/boq-review
calculator,,Hi Buildogram, I used your cost calculator and would like to discuss my estimate with you. {{pageUrl}},120,Hi Buildogram I used your cost calculator and would like to discuss my estimate with you. https://www.buildogram.in/boq-calculator
partner-listing,,Hi Buildogram, I'm looking for construction professionals in Chennai. Could you help me identify suitable options? {{pageUrl}},140,Hi Buildogram I'm looking for construction professionals in Chennai. Could you help me identify suitable options? https://www.buildogram.in/partners/builders
partner-profile,,Hi Buildogram, I saw this listed professional and would like to discuss my project. {{pageUrl}},113,Hi Buildogram I saw this listed professional and would like to discuss my project. https://www.buildogram.in/partners/some-builder
generic,,Hi Buildogram, I have a question about construction in Chennai. {{pageUrl}},82,Hi Buildogram I have a question about construction in Chennai. https://www.buildogram.in/
