# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# 26 rows, expanded from 12. Spelling-variant groups recorded. HONEST LIMITATION: no autocomplete/community capture performed. Classification distinguishes Natural Tanglish from English-with-local-intent; no unnatural machine hybrids were retained.
tanglish_query,tanglish_normalised_form,spelling_variant_group,natural_english_intent,classification,naturalness_score,user_type,domain_owner,search_intent_category,source,human_review_status,validation_status
veedu katta cost chennai,veedu katta cost chennai,veedu|vidu; katta|kattura|kattadhu,house construction cost,Natural Tanglish,9,Homeowner,Buildogram,Price discovery,Claude prior knowledge of Chennai code-mixed search phrasing — NOT captured from autocomplete or community sources,REQUIRED — fluent reviewer,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
veedu kattura selavu evlo,veedu katta selavu evlo,selavu|cost; evlo|evvalavu,how much house construction costs,Natural Tanglish,9,Homeowner,Buildogram,Price discovery,Claude prior knowledge of Chennai code-mixed search phrasing — NOT captured from autocomplete or community sources,REQUIRED — fluent reviewer,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
vidu kattanum enna pannanum,veedu katta enna pannanum,vidu|veedu,what to do to build a house,Natural Tanglish,8,Homeowner,Buildogram,Learning/process,Claude prior knowledge of Chennai code-mixed search phrasing — NOT captured from autocomplete or community sources,REQUIRED — fluent reviewer,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
construction rate per sqft chennai,construction rate per sqft chennai,sqft|sq ft|square feet,construction rate per sqft,English with local intent,7,Homeowner,Buildogram,Price discovery,Claude prior knowledge of Chennai code-mixed search phrasing — NOT captured from autocomplete or community sources,REQUIRED — fluent reviewer,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
nalla building contractor chennai,nalla building contractor chennai,nalla|good,good building contractor,Natural Tanglish,9,Homeowner,Buildogram,Provider shortlisting,Claude prior knowledge of Chennai code-mixed search phrasing — NOT captured from autocomplete or community sources,REQUIRED — fluent reviewer,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
nalla civil engineer pakkathula,nalla civil engineer pakkathula,pakkathula|near me|enga,good civil engineer near me,Natural Tanglish,8,Homeowner,Buildogram,Proximity search,Claude prior knowledge of Chennai code-mixed search phrasing — NOT captured from autocomplete or community sources,REQUIRED — fluent reviewer,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
mestri rate chennai,mestri rate chennai,mestri|mason|contractor,mason/contractor rate,Natural Tanglish,8,Homeowner,Buildogram,Price discovery,Claude prior knowledge of Chennai code-mixed search phrasing — NOT captured from autocomplete or community sources,REQUIRED — fluent reviewer,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
house plan approval epdi vangurathu,house plan approval epdi vaanguvadhu,epdi|eppadi; vangurathu|vaanguvadhu,how to get plan approval,Natural Tanglish,9,Owner,Buildogram,Regulatory guidance,Claude prior knowledge of Chennai code-mixed search phrasing — NOT captured from autocomplete or community sources,REQUIRED — fluent reviewer,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
cmda approval enna documents venum,cmda approval enna documents venum,venum|thevai,documents needed for CMDA approval,Natural Tanglish,9,Owner,Buildogram,Regulatory guidance,Claude prior knowledge of Chennai code-mixed search phrasing — NOT captured from autocomplete or community sources,REQUIRED — fluent reviewer,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
wall crack problem enna reason,wall crack enna reason,enna|what,cause of wall cracks,Natural Tanglish,9,Homeowner,Buildogram,Problem diagnosis,Claude prior knowledge of Chennai code-mixed search phrasing — NOT captured from autocomplete or community sources,REQUIRED — fluent reviewer,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
veetla crack varudhu enna panrathu,veettula crack varudhu enna pannuvadhu,veetla|veettula,"cracks appearing at home, what to do",Natural Tanglish,9,Homeowner,Buildogram,Problem diagnosis,Claude prior knowledge of Chennai code-mixed search phrasing — NOT captured from autocomplete or community sources,REQUIRED — fluent reviewer,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
structural audit enga panrathu chennai,structural audit enga pannuvadhu chennai,enga|where,where to get a structural audit,Natural Tanglish,8,Owner,Buildogram,Assessment seeking,Claude prior knowledge of Chennai code-mixed search phrasing — NOT captured from autocomplete or community sources,REQUIRED — fluent reviewer,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
soil test cost evlo chennai,soil test cost evlo chennai,evlo|evvalavu,soil test cost,Natural Tanglish,9,Owner,Buildogram,Price discovery,Claude prior knowledge of Chennai code-mixed search phrasing — NOT captured from autocomplete or community sources,REQUIRED — fluent reviewer,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
boq check panra service chennai,boq check panra service chennai,panra|pannura,BOQ checking service,Natural Tanglish,8,Homeowner,Buildogram,Assessment seeking,Claude prior knowledge of Chennai code-mixed search phrasing — NOT captured from autocomplete or community sources,REQUIRED — fluent reviewer,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
contractor quotation correct ah nu check panna,contractor quotation correct ah check panna,ah nu|aana,verify contractor quotation,Natural Tanglish,8,Homeowner,Buildogram,Assessment seeking,Claude prior knowledge of Chennai code-mixed search phrasing — NOT captured from autocomplete or community sources,REQUIRED — fluent reviewer,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
