# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# TEMPLATE — NO SERP DATA COLLECTED. This environment cannot capture Chennai-localised, device-split, language-split Google SERPs. Every gap claim in 10-…md is therefore marked INSUFFICIENT EVIDENCE until this file is populated. 17 priority queries × 2 languages × 2 devices = 68 captures required.
query,serp_location,serp_language,serp_device,collection_date,collection_context,position,result_type,ranking_domain,ranking_url,page_type,business_model,content_depth,evidence_quality,local_specificity,conversion_approach,ai_overview_present,paa_questions,gap_classification
construction company chennai,"Chennai, Tamil Nadu, India",en (repeat for ta),mobile (repeat for desktop),NOT_COLLECTED,Incognito / neutral,,,,,,,,,,,NOT_COLLECTED,NOT_COLLECTED,INSUFFICIENT EVIDENCE
house construction chennai,"Chennai, Tamil Nadu, India",en (repeat for ta),mobile (repeat for desktop),NOT_COLLECTED,Incognito / neutral,,,,,,,,,,,NOT_COLLECTED,NOT_COLLECTED,INSUFFICIENT EVIDENCE
construction cost chennai,"Chennai, Tamil Nadu, India",en (repeat for ta),mobile (repeat for desktop),NOT_COLLECTED,Incognito / neutral,,,,,,,,,,,NOT_COLLECTED,NOT_COLLECTED,INSUFFICIENT EVIDENCE
boq preparation chennai,"Chennai, Tamil Nadu, India",en (repeat for ta),mobile (repeat for desktop),NOT_COLLECTED,Incognito / neutral,,,,,,,,,,,NOT_COLLECTED,NOT_COLLECTED,INSUFFICIENT EVIDENCE
boq review chennai,"Chennai, Tamil Nadu, India",en (repeat for ta),mobile (repeat for desktop),NOT_COLLECTED,Incognito / neutral,,,,,,,,,,,NOT_COLLECTED,NOT_COLLECTED,INSUFFICIENT EVIDENCE
contractor quotation review chennai,"Chennai, Tamil Nadu, India",en (repeat for ta),mobile (repeat for desktop),NOT_COLLECTED,Incognito / neutral,,,,,,,,,,,NOT_COLLECTED,NOT_COLLECTED,INSUFFICIENT EVIDENCE
quantity surveyor chennai,"Chennai, Tamil Nadu, India",en (repeat for ta),mobile (repeat for desktop),NOT_COLLECTED,Incognito / neutral,,,,,,,,,,,NOT_COLLECTED,NOT_COLLECTED,INSUFFICIENT EVIDENCE
structural audit chennai,"Chennai, Tamil Nadu, India",en (repeat for ta),mobile (repeat for desktop),NOT_COLLECTED,Incognito / neutral,,,,,,,,,,,NOT_COLLECTED,NOT_COLLECTED,INSUFFICIENT EVIDENCE
building inspection chennai,"Chennai, Tamil Nadu, India",en (repeat for ta),mobile (repeat for desktop),NOT_COLLECTED,Incognito / neutral,,,,,,,,,,,NOT_COLLECTED,NOT_COLLECTED,INSUFFICIENT EVIDENCE
soil testing chennai,"Chennai, Tamil Nadu, India",en (repeat for ta),mobile (repeat for desktop),NOT_COLLECTED,Incognito / neutral,,,,,,,,,,,NOT_COLLECTED,NOT_COLLECTED,INSUFFICIENT EVIDENCE
construction materials chennai,"Chennai, Tamil Nadu, India",en (repeat for ta),mobile (repeat for desktop),NOT_COLLECTED,Incognito / neutral,,,,,,,,,,,NOT_COLLECTED,NOT_COLLECTED,INSUFFICIENT EVIDENCE
cement supplier chennai,"Chennai, Tamil Nadu, India",en (repeat for ta),mobile (repeat for desktop),NOT_COLLECTED,Incognito / neutral,,,,,,,,,,,NOT_COLLECTED,NOT_COLLECTED,INSUFFICIENT EVIDENCE
tmt steel supplier chennai,"Chennai, Tamil Nadu, India",en (repeat for ta),mobile (repeat for desktop),NOT_COLLECTED,Incognito / neutral,,,,,,,,,,,NOT_COLLECTED,NOT_COLLECTED,INSUFFICIENT EVIDENCE
apartments for rent chennai,"Chennai, Tamil Nadu, India",en (repeat for ta),mobile (repeat for desktop),NOT_COLLECTED,Incognito / neutral,,,,,,,,,,,NOT_COLLECTED,NOT_COLLECTED,INSUFFICIENT EVIDENCE
properties for sale chennai,"Chennai, Tamil Nadu, India",en (repeat for ta),mobile (repeat for desktop),NOT_COLLECTED,Incognito / neutral,,,,,,,,,,,NOT_COLLECTED,NOT_COLLECTED,INSUFFICIENT EVIDENCE
property virtual tour chennai,"Chennai, Tamil Nadu, India",en (repeat for ta),mobile (repeat for desktop),NOT_COLLECTED,Incognito / neutral,,,,,,,,,,,NOT_COLLECTED,NOT_COLLECTED,INSUFFICIENT EVIDENCE
360 property tour chennai,"Chennai, Tamil Nadu, India",en (repeat for ta),mobile (repeat for desktop),NOT_COLLECTED,Incognito / neutral,,,,,,,,,,,NOT_COLLECTED,NOT_COLLECTED,INSUFFICIENT EVIDENCE
