# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# Matches recorded from public homepage observation only. Duplication is NOT inferred from similar titles alone — these share identical slugs AND identical specifications. Full ID/image/tour-hash reconciliation still required.
property_title,tolet_board_url,realprop_url,tolet_price_signal,realprop_price_signal,locality,match_basis,classification,evidence,action_when_authorised,owner_review_required
3BHK Sea View Apartment in ECR,/p/3bhk-sea-view-apartment-ecr,/p/3bhk-sea-view-apartment-ecr,₹45K/mo,₹1.2Cr,ECR,Identical slug + identical title + identical area/BHK across both domains,AVAILABILITY UNCONFIRMED — candidate demonstration record,Observed on both homepages 2026-07-25; identical slugs; round-number pricing; whole set duplicated,"Classify per owner; if demo → remove/noindex on both domains; if genuinely dual-transaction → differentiate copy, price, CTA, schema; both self-canonical",YES
Premium 4BHK Penthouse in OMR,/p/premium-4bhk-penthouse-omr,/p/premium-4bhk-penthouse-omr,₹95K 3Y lease,₹2.8Cr,OMR,Identical slug + identical title + identical area/BHK across both domains,AVAILABILITY UNCONFIRMED — candidate demonstration record,Observed on both homepages 2026-07-25; identical slugs; round-number pricing; whole set duplicated,"Classify per owner; if demo → remove/noindex on both domains; if genuinely dual-transaction → differentiate copy, price, CTA, schema; both self-canonical",YES
3BHK Premium Apartment in OMR,/p/3bhk-premium-apartment-omr,/p/3bhk-premium-apartment-omr,₹35K/mo,₹85L,OMR,Identical slug + identical title + identical area/BHK across both domains,AVAILABILITY UNCONFIRMED — candidate demonstration record,Observed on both homepages 2026-07-25; identical slugs; round-number pricing; whole set duplicated,"Classify per owner; if demo → remove/noindex on both domains; if genuinely dual-transaction → differentiate copy, price, CTA, schema; both self-canonical",YES
Co-working Space in Nungambakkam,/p/coworking-space-nungambakkam,/p/coworking-space-nungambakkam,₹50K 2Y lease,₹1.5Cr,Nungambakkam,Identical slug + identical title + identical area/BHK across both domains,AVAILABILITY UNCONFIRMED — candidate demonstration record,Observed on both homepages 2026-07-25; identical slugs; round-number pricing; whole set duplicated,"Classify per owner; if demo → remove/noindex on both domains; if genuinely dual-transaction → differentiate copy, price, CTA, schema; both self-canonical",YES
Budget 2BHK in Chromepet,/p/budget-2bhk-chromepet,/p/budget-2bhk-chromepet,₹14K/mo,₹32L,Chromepet,Identical slug + identical title + identical area/BHK across both domains,AVAILABILITY UNCONFIRMED — candidate demonstration record,Observed on both homepages 2026-07-25; identical slugs; round-number pricing; whole set duplicated,"Classify per owner; if demo → remove/noindex on both domains; if genuinely dual-transaction → differentiate copy, price, CTA, schema; both self-canonical",YES
Modern Office in Guindy,/p/modern-office-guindy,/p/modern-office-guindy,₹85K 3Y lease,₹2.5Cr,Guindy,Identical slug + identical title + identical area/BHK across both domains,AVAILABILITY UNCONFIRMED — candidate demonstration record,Observed on both homepages 2026-07-25; identical slugs; round-number pricing; whole set duplicated,"Classify per owner; if demo → remove/noindex on both domains; if genuinely dual-transaction → differentiate copy, price, CTA, schema; both self-canonical",YES
Cozy Studio Apartment in Velachery,/p/cozy-studio-apartment-velachery,/p/cozy-studio-apartment-velachery,₹12K/mo,₹28L,Velachery,Identical slug + identical title + identical area/BHK across both domains,AVAILABILITY UNCONFIRMED — candidate demonstration record,Observed on both homepages 2026-07-25; identical slugs; round-number pricing; whole set duplicated,"Classify per owner; if demo → remove/noindex on both domains; if genuinely dual-transaction → differentiate copy, price, CTA, schema; both self-canonical",YES
Warehouse Space in Ambattur,/p/warehouse-space-ambattur,/p/warehouse-space-ambattur,₹1.50L 5Y lease,₹4.5Cr,Ambattur,Identical slug + identical title + identical area/BHK across both domains,AVAILABILITY UNCONFIRMED — candidate demonstration record,Observed on both homepages 2026-07-25; identical slugs; round-number pricing; whole set duplicated,"Classify per owner; if demo → remove/noindex on both domains; if genuinely dual-transaction → differentiate copy, price, CTA, schema; both self-canonical",YES
2BHK Independent House in Tambaram,/p/2bhk-independent-house-tambaram,/p/2bhk-independent-house-tambaram,₹18K/mo,₹45L,Tambaram,Identical slug + identical title + identical area/BHK across both domains,AVAILABILITY UNCONFIRMED — candidate demonstration record,Observed on both homepages 2026-07-25; identical slugs; round-number pricing; whole set duplicated,"Classify per owner; if demo → remove/noindex on both domains; if genuinely dual-transaction → differentiate copy, price, CTA, schema; both self-canonical",YES
Automated Test Property,(not observed),/p/automated-test-property-1777531914985,—,"₹50L, 1200 sqft, 2BHK",OMR,Literal test title + timestamp slug,DEMONSTRATION OR TEST RECORD — confirmed on sight,Live on Realprop homepage 'Recently Added' grid 2026-07-25; listing page returns generic homepage title/description,"Remove from all public and indexable outputs (sitemap, list, homepage grid) during the next authorised implementation stage",YES — urgent
FULL INVENTORY RECONCILIATION,PENDING,PENDING,—,—,—,"Requires: internal property ID, address hash, coordinates, image hash, 360-tour identifier, agent reference, phone, description similarity",NOT YET PERFORMED — no portal DB/API access from this environment,Only homepage-level observation was possible,Run full reconciliation with authorised portal data access,YES
