# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# 33 rows, expanded from 12. HONEST LIMITATION: none captured from Tamil Google autocomplete, Tamil PAA, YouTube suggestions or Tamil community sources — those require access this environment does not have. Every row is an expert hypothesis pending fluent-reviewer approval.
tamil_query,transliteration,literal_english,natural_english_intent,user_type,domain_owner,search_intent_category,register_colloquial_or_formal,would_a_chennai_user_say_this,discovery_source,human_review_status,validation_status
வீடு கட்டும் செலவு சென்னை,veedu kattum selavu Chennai,house building expense Chennai,house construction cost Chennai,Homeowner,Buildogram,Price discovery,Colloquial,LIKELY,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
சதுர அடிக்கு கட்டுமான செலவு,sathura adikku kattumana selavu,construction cost per square foot,construction cost per sqft,Homeowner,Buildogram,Price discovery,Formal-colloquial mix,LIKELY,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
வீடு கட்ட எவ்வளவு ஆகும்,veedu katta evvalavu aagum,how much will it take to build a house,total house build cost,Homeowner,Buildogram,Price discovery,Colloquial,VERY LIKELY,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
சிவில் கான்ட்ராக்டர் சென்னை,civil contractor Chennai,civil contractor Chennai,find civil contractor,Homeowner,Buildogram,Provider seeking,Loanword-heavy (normal),VERY LIKELY,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
கட்டுமான நிறுவனம் சென்னை,kattumana niruvanam Chennai,construction company Chennai,find construction company,Homeowner,Buildogram,Provider seeking,Formal,LIKELY,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
கட்டிட அனுமதி சென்னை,kattida anumathi Chennai,building permission Chennai,building approval process,Owner,Buildogram,Regulatory guidance,Formal,LIKELY,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
வீட்டு பிளான் வரைபடம்,veettu plan varaipadam,house plan drawing,house plan design,Homeowner,Buildogram,Design seeking,Mixed,LIKELY,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
மண் பரிசோதனை சென்னை,man parisodhanai Chennai,soil test Chennai,soil testing service,Owner,Buildogram,Assessment seeking,Formal,LIKELY,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
நில அளவை சென்னை,nila alavai Chennai,land measurement Chennai,land survey service,Owner,Buildogram,Assessment seeking,Formal,LIKELY,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
கட்டிட பாதுகாப்பு ஆய்வு,kattida paathukaappu aaivu,building safety inspection,structural audit,Owner/association,Buildogram,Assessment seeking,Formal,POSSIBLE — term may vary,"Claude prior knowledge of Tamil construction/property terminology — NOT captured from Tamil autocomplete, PAA, YouTube suggestions or community sources (no access in this environment)",REQUIRED — fluent Tamil technical reviewer not yet engaged,PLAUSIBLE RESEARCH HYPOTHESIS — NOT VALIDATED
