# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# Regulated / safety-sensitive services only. Direct-provider language is BLOCKED for every row until the responsible professional is named and evidenced. Applies the owner's B4 gate.
service,proposed_model,required_qualification,required_registration_or_licence,required_lab_accreditation,authority_acceptance_needed,responsible_professional,deliverable_signer,buildogram_role,permitted_wording,prohibited_wording,limitations_to_state,publication_gate
Structural design,PARTNER-COORDINATED (proposed),Civil/structural engineering degree + practising experience,Registration with the relevant authority where required for submission,n/a,Local authority may require a registered SE signature,Appointed structural engineer,Appointed structural engineer,Coordination + owner-side review,Coordinated through a structural engineering professional,Our structural engineers · we design your structure,Design responsibility rests with the appointed engineer,BLOCKED until responsible professional is named and evidenced
Structural audit,PARTNER-COORDINATED (proposed),Structural engineering qualification,Registration where the report is submitted to an authority,NDT lab accreditation where tests are involved,GCC/CMDA acceptance depends on the signer's registration,Appointed structural engineer,Appointed structural engineer,"Audit scoping, coordination, documentation",Structural audit coordinated with a structural engineering professional,Our audit certifies · we issue the stability certificate,Report acceptance depends on the signer's registration; confirm requirements per application,BLOCKED until responsible professional is named and evidenced
Stability certificate,PARTNER-COORDINATED (proposed),Registered structural engineer,MANDATORY — issuance authority,n/a,Authority-specific,Registered SE only,Registered SE only,Coordination only,We can coordinate an assessment by an appropriately registered engineer,Buildogram issues stability certificates,Buildogram cannot issue this document,BLOCKED until responsible professional is named and evidenced
NDT testing,PARTNER-COORDINATED (proposed),NDT technician certification (e.g. ASNT/ISNT levels),Technician certification,Lab accreditation (NABL where claimed),Depends on submission,Appointed testing lab,Lab / certified technician,Test selection advice + coordination,NDT coordinated with a testing laboratory,Our laboratory · our certified technicians,Results are issued by the appointed laboratory,BLOCKED until responsible professional is named and evidenced
Soil investigation,PARTNER-COORDINATED (proposed),Geotechnical qualification,n/a,Lab accreditation for testing,Foundation design submissions,Appointed geotechnical consultant/lab,Geotechnical consultant,Scoping + coordination,Soil investigation coordinated with a geotechnical laboratory,Our lab · our geotechnical engineers,Foundation recommendations rest with the geotechnical consultant and designer,BLOCKED until responsible professional is named and evidenced
Geotechnical recommendation,PARTNER-COORDINATED (proposed),Geotechnical engineering qualification,n/a,n/a,Design submissions,Appointed geotechnical consultant,Geotechnical consultant,Relay + owner-side review,Recommendations provided by the appointed geotechnical consultant,We determine your foundation type,Never publish area-wide foundation prescriptions,BLOCKED until responsible professional is named and evidenced
Land / topographic survey,PARTNER-COORDINATED (proposed),Surveying qualification,Where required for statutory submissions,n/a,FMB/patta-related submissions,Appointed surveyor,Surveyor,Scoping + coordination,Survey coordinated with a surveying professional,Our certified surveyors,Boundary determination is the surveyor's professional output,BLOCKED until responsible professional is named and evidenced
Drone survey,PARTNER-COORDINATED (proposed),DGCA remote-pilot certificate,MANDATORY — DGCA RPC + UIN/registration,n/a,Digital Sky permissions,Appointed drone operator,Operator,Requirement definition + coordination,"Where applicable, the appointed drone operator is responsible for obtaining required permissions",Our certified pilots,Airspace/zone restrictions apply,BLOCKED until responsible professional is named and evidenced
Fire systems,PARTNER-COORDINATED (proposed),Fire-safety engineering competence,Fire service NOC processes,n/a,Fire NOC,Appointed fire-systems contractor,Contractor/consultant,Coordination,Coordinated through fire-systems specialists,We provide fire NOC,NOC issuance is an authority function,BLOCKED until responsible professional is named and evidenced
Electrical certification,PARTNER-COORDINATED (proposed),Licensed electrical contractor,MANDATORY — electrical licence,n/a,EB/inspectorate approval,Licensed electrical contractor,Licensed contractor,Coordination,Coordinated through a licensed electrical contractor,Our electricians certify,Certification is the licensed contractor's responsibility,BLOCKED until responsible professional is named and evidenced
Lift installation,PARTNER-COORDINATED (proposed),OEM/installer competence,Lift inspectorate registration,n/a,Lift licence,Appointed lift company,Lift company,Directory/referral,Listed lift companies,Our lift division,Statutory lift licensing is handled by the installer/owner,BLOCKED until responsible professional is named and evidenced
Building approval,PARTNER-COORDINATED (proposed),Licensed surveyor/architect per authority rules,Authority-empanelled professional,n/a,CMDA/GCC/DTCP,Appointed licensed professional,Licensed professional,Guidance + coordination,Approval guidance; submissions made by the appointed licensed professional,We obtain your approval,Approval outcomes rest with the authority,BLOCKED until responsible professional is named and evidenced
Legal / property-document advice,PARTNER-COORDINATED (proposed),Legal qualification,Advocate enrolment,n/a,n/a,Advocate,Advocate,Referral only,Document checks coordinated with a legal professional,Our legal team verifies title,Buildogram does not provide legal opinions,BLOCKED until responsible professional is named and evidenced
