# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
segment,transaction_type,property_class,property_subtype,user_problem,audience,domain_owner,buildogram_adjacent_service,existing_url_pattern,evidence_status,commercial_relevance,search_intent_families,local_applicability,owner_confirmation_required,research_priority
Property,Rent / lease,Residential,Apartment / flat,Find rental flat,Tenant,Tolet Board Chennai,Rent-ready renovation; pre-lease condition assessment,toletboardchennai.in/list?subtype=… ; /p/[slug],INVENTORY_INTEGRITY_UNCONFIRMED — identical listing set observed on both portals incl. a live 'Automated Test Property'; classification required before any SEO work,HIGH,"commercial,transactional,local",Chennai localities + corridors,"YES — availability, pricing authority, broker/owner disclosure",P1
Property,Rent / lease,Residential,Independent house,Find rental house,Tenant,Tolet Board Chennai,Rent-ready renovation; pre-lease condition assessment,toletboardchennai.in/list?subtype=… ; /p/[slug],INVENTORY_INTEGRITY_UNCONFIRMED — identical listing set observed on both portals incl. a live 'Automated Test Property'; classification required before any SEO work,HIGH,"commercial,transactional,local",Chennai localities + corridors,"YES — availability, pricing authority, broker/owner disclosure",P1
Property,Rent / lease,Residential,Villa,Premium rental,Tenant,Tolet Board Chennai,Rent-ready renovation; pre-lease condition assessment,toletboardchennai.in/list?subtype=… ; /p/[slug],INVENTORY_INTEGRITY_UNCONFIRMED — identical listing set observed on both portals incl. a live 'Automated Test Property'; classification required before any SEO work,HIGH,"commercial,transactional,local",Chennai localities + corridors,"YES — availability, pricing authority, broker/owner disclosure",P1
Property,Rent / lease,Residential,Independent floor,Portion rental,Tenant,Tolet Board Chennai,Rent-ready renovation; pre-lease condition assessment,toletboardchennai.in/list?subtype=… ; /p/[slug],INVENTORY_INTEGRITY_UNCONFIRMED — identical listing set observed on both portals incl. a live 'Automated Test Property'; classification required before any SEO work,HIGH,"commercial,transactional,local",Chennai localities + corridors,"YES — availability, pricing authority, broker/owner disclosure",P1
Property,Rent / lease,Residential,Studio apartment,Compact rental,Single professional,Tolet Board Chennai,Rent-ready renovation; pre-lease condition assessment,toletboardchennai.in/list?subtype=… ; /p/[slug],INVENTORY_INTEGRITY_UNCONFIRMED — identical listing set observed on both portals incl. a live 'Automated Test Property'; classification required before any SEO work,HIGH,"commercial,transactional,local",Chennai localities + corridors,"YES — availability, pricing authority, broker/owner disclosure",P1
Property,Rent / lease,Residential,Service apartment,Short stay,Professional,Tolet Board Chennai,Rent-ready renovation; pre-lease condition assessment,toletboardchennai.in/list?subtype=… ; /p/[slug],INVENTORY_INTEGRITY_UNCONFIRMED — identical listing set observed on both portals incl. a live 'Automated Test Property'; classification required before any SEO work,HIGH,"commercial,transactional,local",Chennai localities + corridors,"YES — availability, pricing authority, broker/owner disclosure",P1
Property,Rent / lease,Residential,PG / co-living,Shared housing,Student/professional,Tolet Board Chennai,Rent-ready renovation; pre-lease condition assessment,toletboardchennai.in/list?subtype=… ; /p/[slug],INVENTORY_INTEGRITY_UNCONFIRMED — identical listing set observed on both portals incl. a live 'Automated Test Property'; classification required before any SEO work,HIGH,"commercial,transactional,local",Chennai localities + corridors,"YES — availability, pricing authority, broker/owner disclosure",P1
Property,Rent / lease,Commercial,Office space,Office lease,Business,Tolet Board Chennai,Rent-ready renovation; pre-lease condition assessment,toletboardchennai.in/list?subtype=… ; /p/[slug],INVENTORY_INTEGRITY_UNCONFIRMED — identical listing set observed on both portals incl. a live 'Automated Test Property'; classification required before any SEO work,HIGH,"commercial,transactional,local",Chennai localities + corridors,"YES — availability, pricing authority, broker/owner disclosure",P1
Property,Rent / lease,Commercial,Shop / retail,Retail lease,Business,Tolet Board Chennai,Rent-ready renovation; pre-lease condition assessment,toletboardchennai.in/list?subtype=… ; /p/[slug],INVENTORY_INTEGRITY_UNCONFIRMED — identical listing set observed on both portals incl. a live 'Automated Test Property'; classification required before any SEO work,HIGH,"commercial,transactional,local",Chennai localities + corridors,"YES — availability, pricing authority, broker/owner disclosure",P1
Property,Rent / lease,Commercial,Showroom,Showroom lease,Business,Tolet Board Chennai,Rent-ready renovation; pre-lease condition assessment,toletboardchennai.in/list?subtype=… ; /p/[slug],INVENTORY_INTEGRITY_UNCONFIRMED — identical listing set observed on both portals incl. a live 'Automated Test Property'; classification required before any SEO work,HIGH,"commercial,transactional,local",Chennai localities + corridors,"YES — availability, pricing authority, broker/owner disclosure",P1
Property,Rent / lease,Commercial,Warehouse,Storage lease,Business,Tolet Board Chennai,Rent-ready renovation; pre-lease condition assessment,toletboardchennai.in/list?subtype=… ; /p/[slug],INVENTORY_INTEGRITY_UNCONFIRMED — identical listing set observed on both portals incl. a live 'Automated Test Property'; classification required before any SEO work,HIGH,"commercial,transactional,local",Chennai localities + corridors,"YES — availability, pricing authority, broker/owner disclosure",P1
Property,Rent / lease,Commercial,Co-working space,Flexible workspace,Business,Tolet Board Chennai,Rent-ready renovation; pre-lease condition assessment,toletboardchennai.in/list?subtype=… ; /p/[slug],INVENTORY_INTEGRITY_UNCONFIRMED — identical listing set observed on both portals incl. a live 'Automated Test Property'; classification required before any SEO work,HIGH,"commercial,transactional,local",Chennai localities + corridors,"YES — availability, pricing authority, broker/owner disclosure",P1
