group_id,intent_cluster,competing_urls,evidence,severity,recommended_primary,recommended_action
C1,"construction company / builders Chennai","/construction-company-chennai; /builders-in-chennai; /construction-in-chennai; /","Three pages target near-identical head terms (construction company chennai / builders in chennai); homepage also targets brand+category. SERPs for these queries are known to overlap heavily.",HIGH,/construction-company-chennai,"Make construction-in-chennai the informational hub linking down; differentiate builders-in-chennai toward directory intent (partner listings) or merge into construction-company-chennai. Validate with GSC URL-switching data before merging."
C2,"home/house construction Chennai","/home-construction-chennai; /house-construction-chennai; /residential-construction-chennai; /build/home-construction","home vs house construction are the same query cluster; /build/home-construction repeats it a third time. residential-construction overlaps both.",HIGH,/home-construction-chennai,"301 /house-construction-chennai -> /home-construction-chennai unless GSC shows distinct query sets; repoint /build/home-construction as a journey page linking to the money page or 301 it; keep residential only if content is genuinely apartment/multi-unit focused."
C3,"villa construction","/build/villa-construction; /services/villa-construction; /villa-construction (404 nav link)","Two live pages same topic plus a broken nav URL.",HIGH,/build/villa-construction,"Pick one canonical villa page (recommend a -chennai slug); 301 the other; fix Navbar link (currently 404)."
C4,"turnkey / end-to-end construction","/turnkey-construction-chennai; /end-to-end-construction-support-chennai; /services/turnkey-construction","Turnkey and end-to-end target the same commercial intent; a third seo-data page repeats it.",MEDIUM,/end-to-end-construction-support-chennai,"Differentiate: turnkey = contractor-delivery model page; end-to-end = Buildogram owner-side support offer. Merge /services/turnkey-construction."
C5,"renovation Chennai","/renovation-contractors-chennai; /build/renovation; /services/renovation-construction","Three renovation pages.",MEDIUM,/renovation-contractors-chennai,"301 the /services/ variant; make /build/renovation a journey step linking to primary."
C6,"structural audit Chennai","/structural-audit-chennai; /building-structural-audit-chennai; /residential-structural-audit-chennai; /commercial-structural-audit-chennai; /old-building-structural-audit-chennai","structural audit vs building structural audit are the same query. Nav labels building-structural-audit as 'Residential Structural Audit' while a separate residential page exists — internal signals are confused.",HIGH,/structural-audit-chennai,"Keep one pillar (structural-audit-chennai) + genuinely distinct children (commercial / old-building / apartment-when-created). Merge building-structural-audit into pillar or make it strictly residential and fix nav labels."
C7,"soil testing Chennai","/soil-testing-chennai; /soil-investigation-chennai","Same service, two vocabulary variants.",MEDIUM,/soil-testing-chennai,"Merge investigation into testing page with an H2 covering 'soil investigation' terminology, 301 the loser."
C8,"BOQ / quote review","/boq-audit; /boq-review-chennai; /contractor-quote-review-chennai; /review/contractor-quote; /services/boq-review","Five surfaces for the same owner-side BOQ/quote review intent.",HIGH,/boq-review-chennai,"boq-audit becomes the tool/upload flow (conversion endpoint) linked from boq-review-chennai (the ranking page); 301 /review/contractor-quote and /services/boq-review; differentiate contractor-quote-review toward comparing multiple quotes if GSC supports it."
C9,"plan review","/plan-review; /structural-plan-review-chennai; /services/house-plan-review","Three plan-review pages.",MEDIUM,/structural-plan-review-chennai,"structural-plan-review = structural drawings; plan-review = floor-plan/architectural review product page; 301 /services/house-plan-review into whichever matches."
C10,"cost estimation","/cost-estimator; /ai-construction-cost-estimator; /construction-cost-estimation-chennai; /services/construction-cost-consultation","Tool page, AI tool page, service page and consultation page all chase 'construction cost' queries.",MEDIUM,/construction-cost-estimation-chennai,"Service page = ranking target; tools = interactive assets embedded/linked; 301 the /services/ variant."
C11,"resources tree duplication","/guides vs /resources/guides; /faqs vs /resources/faqs; /glossary vs /resources/glossary; /compare vs /resources/compare; /resources/construction-guide; /resources/material-guide","Whole duplicate information architecture under /resources.",MEDIUM,"/guides, /faqs, /glossary, /compare","Consolidate /resources/* into the top-level hubs with 301s; keep /resources as a simple index or remove."
C12,"materials duplicates","/materials/bricks vs /materials/bricks-aac-blocks; /materials/sand vs /materials/msand-psand; /materials/steel vs /materials/tmt-steel + /materials/fabrication-steel; /materials/electrical-plumbing vs /materials/electrical + /materials/plumbing; /materials/rmc (nav links ready-mix-concrete 404)","Legacy vs enriched material pages both live; only enriched set is in sitemap.",MEDIUM,"enriched set (bricks-aac-blocks, msand-psand, tmt-steel, rmc, electrical, plumbing)","301 legacy slugs to enriched equivalents; fix nav ready-mix-concrete link to /materials/rmc or add redirect."
C13,"site supervision duplicate data","SERVICES array contains site-supervision-chennai twice","Duplicate object in src/data/services.js (route resolves to first match; dead data).",LOW,/site-supervision-chennai,"Remove duplicate entry from data file."
C14,"quality inspection vs site supervision vs BQS","/quality-inspection-chennai; /site-supervision-chennai; /quality-system","Overlapping quality-control intents.",LOW,/site-supervision-chennai,"Differentiate: supervision = ongoing engagement; inspection = one-time visit; quality-system = methodology/brand page. Cross-link rather than merge."
