# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# HARD GATES ENFORCED: no commercial priority without business capability; no locality priority without operating relevance; no supplier priority without materials-model compatibility; no new-page priority without format evidence; no 80+ score without observed search evidence. RESULT: 0 PROVEN, 0 STRONGLY EVIDENCED, 0 VALIDATED opportunities.
# OV02 CONFIRMED 2026-07-25: quotation collector + sourcing coordinator + procurement consultant + supplier referral network + supplier directory + price-information publisher (restricted). NOT selected: direct seller, logistics coordinator.
cluster,domain_owner,classification,search_evidence,conversion_evidence,existing_url,recommended_content_format,business_capability_status,cannibalisation_risk,local_relevance,ai_answer_opportunity,required_proof,provisional_action,hard_gate_failed
Construction company / builders Chennai,Buildogram,HYPOTHESIS ONLY,NONE — GSC not connected,NONE — GA4 not connected,/builders-in-chennai; /construction-in-chennai; homepage,Existing pages require consolidation,UNCONFIRMED — see 53-buildogram-capability-ledger,HIGH — 3 pages one intent,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Delivery model disclosure,HOLD — no action authorised,No observed search evidence
House / home construction Chennai,Buildogram,HYPOTHESIS ONLY,NONE — GSC not connected,NONE — GA4 not connected,/house-construction-chennai; /build/home-construction; /residential-construction-chennai,Existing pages require consolidation,UNCONFIRMED — see 53-buildogram-capability-ledger,HIGH — 4 pages,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Delivery model,HOLD — no action authorised,No observed search evidence
Villa construction,Buildogram,HYPOTHESIS ONLY,NONE — GSC not connected,NONE — GA4 not connected,/services/villa-construction; 301 /villa-construction,Existing pages require consolidation,UNCONFIRMED — see 53-buildogram-capability-ledger,HIGH — 2 pages + broken slug,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Delivery model,HOLD — no action authorised,No observed search evidence
Turnkey vs end-to-end,Buildogram,HYPOTHESIS ONLY,NONE — GSC not connected,NONE — GA4 not connected,/turnkey-construction-chennai; /services/turnkey-construction,Existing page requires improvement,UNCONFIRMED — see 53-buildogram-capability-ledger,MEDIUM — differentiate contract models,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Contract model definitions,HOLD — no action authorised,No observed search evidence
Construction cost Chennai,Buildogram,HYPOTHESIS ONLY,NONE — GSC not connected,NONE — GA4 not connected,/cost-estimator; /ai-construction-cost-estimator; /services/construction-cost-consultation,Existing page requires improvement + new calculator,UNCONFIRMED — see 53-buildogram-capability-ledger,MEDIUM,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Dated rate methodology,HOLD — no action authorised,No observed search evidence
BOQ review / quote audit,Buildogram,HYPOTHESIS ONLY,NONE — GSC not connected,NONE — GA4 not connected,/boq-audit; /contractor-quote-review-chennai; /review/contractor-quote; /services/boq-review,Existing pages require consolidation,UNCONFIRMED — see 53-buildogram-capability-ledger,VERY HIGH — 5 surfaces,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Anonymised outcome evidence,HOLD — no action authorised,No observed search evidence
Structural audit cluster,Buildogram,HYPOTHESIS ONLY,NONE — GSC not connected,NONE — GA4 not connected,/building-structural-audit-chennai; /residential-…; /commercial-…; /old-building-…,Existing page requires improvement + consolidation,UNCONFIRMED — see 53-buildogram-capability-ledger,"VERY HIGH — 5 pages, nav mislabels",UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Credentials + report samples,HOLD — no action authorised,No observed search evidence
Site supervision / quality inspection,Buildogram,HYPOTHESIS ONLY,NONE — GSC not connected,NONE — GA4 not connected,/quality-inspection-chennai; /quality-system,Existing page requires improvement,UNCONFIRMED — see 53-buildogram-capability-ledger,MEDIUM,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Staffing model,HOLD — no action authorised,No observed search evidence
Project management / PMC,Buildogram,HYPOTHESIS ONLY,NONE — GSC not connected,NONE — GA4 not connected,none significant,Existing page requires improvement,UNCONFIRMED — see 53-buildogram-capability-ledger,LOW,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Staffing model,HOLD — no action authorised,No observed search evidence
Plan / drawing review,Buildogram,HYPOTHESIS ONLY,NONE — GSC not connected,NONE — GA4 not connected,/plan-review; /services/house-plan-review,Existing pages require consolidation,UNCONFIRMED — see 53-buildogram-capability-ledger,MEDIUM,UNVERIFIED — 0/161 localities validated,HIGH (hypothesised),Reviewer credentials,HOLD — no action authorised,No observed search evidence
