# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# NOTE: administrative_source for every row is unverified general geographic knowledge. Postcodes deliberately left PENDING_VERIFICATION rather than stated from memory. Presence of a locality implies GEOGRAPHIC RESEARCH ONLY — never service availability, partner coverage, project evidence or property inventory.
locality,alternative_names,common_misspellings,tamil_name,tanglish_forms,parent_zone,corporation_municipality_panchayat,district,planning_authority,postcode_range,major_corridor,nearby_areas,administrative_source,source_verification_date,buildogram_service_availability,toletboard_inventory,realprop_inventory,existing_buildogram_page,existing_toletboard_page,existing_realprop_page,existing_property_count,partner_coverage,project_evidence,search_demand_status,local_page_evidence_status,owner_confirmation_status,provisional_content_format,final_indexability_status
Tiruvottiyur,Thiruvottiyur,Thiruvottiyur,திருவொற்றியூர்,Thiruvotriyur,Zone 1 (Tiruvottiyur),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,North Chennai industrial,"Ennore, Kathivakkam, Wimco Nagar","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Kathivakkam,Kaathivakkam,Kaathivakkam,காத்திவாக்கம்,Kathivakam,Zone 1 (Tiruvottiyur),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,North Chennai industrial,"Ennore, Tiruvottiyur","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Ennore,Ennoor,Ennoor,எண்ணூர்,Ennore,Zone 1 (Tiruvottiyur),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,North Chennai industrial,"Kathivakkam, Manali","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Wimco Nagar,,,விம்கோ நகர்,Wimco Nagar,Zone 1 (Tiruvottiyur),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,North Chennai industrial,"Tiruvottiyur, Ennore","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Manali,,,மணலி,Manali,Zone 2 (Manali),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,North Chennai industrial,"Mathur, Manali New Town","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Manali New Town,,,மணலி புதுநகர்,Manali New Town,Zone 2 (Manali),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,North Chennai industrial,"Manali, Mathur","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Mathur,,,மாதூர்,Mathur,Zone 2 (Manali),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,North Chennai industrial,"Manali, Madhavaram","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Madhavaram,,,மாதவரம்,Madhavaram,Zone 3 (Madhavaram),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,North Chennai,"Puzhal, Manali, Perambur","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Puzhal,,,புழல்,Puzhal,Zone 3 (Madhavaram),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,North Chennai,"Madhavaram, Red Hills","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Red Hills,,,செங்குன்றம்,Red Hills,Zone 3 (Madhavaram),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,North Chennai,"Puzhal, Madhavaram","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
