# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# Cluster-level provisional mapping. NOT authorisation to create pages. Final URL/redirect/indexability decisions deferred per owner instruction §9.
cluster_id,query_cluster,representative_queries,primary_intent,domain_owner,recommended_content_format,provisional_canonical,competing_existing_urls,consolidation_note,evidence_required,owner_confirmation,data_dependency,decision_status
QC01,Construction company / builders Chennai,construction company chennai; building construction company chennai; builders in chennai,commercial-local,Buildogram,Existing flagship page (consolidate),/construction-company-chennai,/builders-in-chennai; /construction-in-chennai; homepage,Cannibalisation group C1 — 3 pages one intent; builders-in-chennai may become directory-intent,Delivery model disclosure,YES,PENDING_GSC URL-switching,PROVISIONAL — P0 AND DATA GATES PENDING
QC02,House / home construction Chennai,house construction chennai; home construction chennai; individual house construction,commercial-local,Buildogram,Existing page requiring consolidation,/home-construction-chennai,/house-construction-chennai; /build/home-construction; /residential-construction-chennai,Group C2 — 4 pages one intent,Delivery model,YES,PENDING_GSC,PROVISIONAL — P0 AND DATA GATES PENDING
QC03,Villa construction,villa construction chennai,commercial-local,Buildogram,Existing page requiring consolidation,/build/villa-construction,/services/villa-construction; 301 /villa-construction,Group C3,Delivery model,YES,PENDING_GSC,PROVISIONAL — P0 AND DATA GATES PENDING
QC04,Turnkey vs end-to-end,turnkey construction chennai; end to end construction chennai,commercial,Buildogram,Two differentiated pages OR merge,/end-to-end-construction-support-chennai,/turnkey-construction-chennai; /services/turnkey-construction,Group C4 — differentiate contract model vs owner-side support,Contract model definitions,YES,PENDING_GSC,PROVISIONAL — P0 AND DATA GATES PENDING
QC05,Construction cost Chennai,construction cost chennai; cost per sqft chennai; house construction cost,commercial-informational,Buildogram,Chennai-wide cost guide + calculator (NO per-locality rates),/construction-cost-estimation-chennai,/cost-estimator; /ai-construction-cost-estimator; /services/construction-cost-consultation,"Group C10 — service page ranks, tools support",Dated rate methodology,YES — rate evidence,PENDING_VALIDATED_PROVIDER,PROVISIONAL — P0 AND DATA GATES PENDING
QC06,BOQ review / quote audit,boq review chennai; boq audit; contractor quotation review,commercial,Buildogram,Existing flagship (consolidate 5 surfaces),/boq-review-chennai,/boq-audit; /contractor-quote-review-chennai; /review/contractor-quote; /services/boq-review,Group C8 — 5 pages one intent; boq-audit becomes the tool/upload flow,Anonymised outcome evidence,NO,PENDING_GSC,PROVISIONAL — P0 AND DATA GATES PENDING
QC07,Structural audit cluster,structural audit chennai; building structural audit; old building audit,commercial-local,Buildogram,Pillar + genuinely distinct children,/structural-audit-chennai,/building-structural-audit-chennai; /residential-…; /commercial-…; /old-building-…,Group C6 — 5 pages; nav labels contradict page names,Credentials + report samples,YES — CRITICAL,PENDING_GSC,PROVISIONAL — P0 AND DATA GATES PENDING
QC08,Site supervision / quality inspection,site supervision chennai; quality inspection chennai; stage inspection,commercial-local,Buildogram,Differentiate ongoing vs one-time,/site-supervision-chennai,/quality-inspection-chennai; /quality-system,Group C14 — cross-link rather than merge,Staffing model,YES,PENDING_GSC,PROVISIONAL — P0 AND DATA GATES PENDING
QC09,Project management / PMC,construction project management chennai; pmc chennai; owner representative,commercial,Buildogram,Existing flagship,/construction-project-management-chennai,none significant,—,Staffing model,YES,PENDING_GSC,PROVISIONAL — P0 AND DATA GATES PENDING
QC10,Plan / drawing review,structural plan review; house plan review; floor plan review,commercial,Buildogram,Two pages: structural vs architectural,/structural-plan-review-chennai,/plan-review; /services/house-plan-review,Group C9,Reviewer credentials,YES,PENDING_GSC,PROVISIONAL — P0 AND DATA GATES PENDING
QC11,Soil testing / investigation,soil testing chennai; soil investigation chennai; sbc test,commercial-local,Buildogram,Merge vocabulary variants into one page,/soil-testing-chennai,/soil-investigation-chennai,Group C7,Lab arrangement,YES,PENDING_GSC,PROVISIONAL — P0 AND DATA GATES PENDING
QC12,Survey cluster,land survey; topographic; total station; dgps; drone; contour,commercial-local,Buildogram,Hub + method children (keep if distinct),/land-survey-chennai,6 method pages,Assess overlap with GSC before merging,Equipment/operator evidence,YES,PENDING_GSC,PROVISIONAL — P0 AND DATA GATES PENDING
QC13,Piling cluster,pile foundation; bored piles; dmc; micro piling; pile tests,commercial-local,Buildogram,Hub + method children,/pile-foundation-contractors-chennai,5 method + 3 test pages,Likely keep — genuinely distinct methods,Delivery model,YES,PENDING_GSC,PROVISIONAL — P0 AND DATA GATES PENDING
QC14,NDT cluster,ndt testing; rebound hammer; upv; rebar scanning; core test,commercial,Buildogram,Hub + test children,/ndt-testing-chennai,4 test pages,Keep; ensure each explains lab arrangement,Lab arrangement,YES,PENDING_GSC,PROVISIONAL — P0 AND DATA GATES PENDING
QC15,Renovation,home renovation chennai; house renovation; old house renovation,commercial-local,Buildogram,Existing flagship (consolidate 3),/renovation-contractors-chennai,/build/renovation; /services/renovation-construction,Group C5,Delivery model,YES,PENDING_GSC,PROVISIONAL — P0 AND DATA GATES PENDING
QC16,Interiors,interior design chennai; modular kitchen; false ceiling,commercial-local,Buildogram (directory) ,Directory + guides; service page ONLY if delivered,/partners/interiors,none,Do not target delivery keywords unless service exists,Service existence,YES,PENDING_GSC,PROVISIONAL — P0 AND DATA GATES PENDING
QC17,Steel / PEB / industrial,peb building; steel construction; industrial shed; factory shed; warehouse shed,commercial-local,Buildogram,Hub + differentiated children,/steel-construction-chennai,/peb-…; /industrial-shed-…; 3 URLs now 301,Group: 3 serviceHub slugs had no renderer,Delivery model,YES,PENDING_GSC,PROVISIONAL — P0 AND DATA GATES PENDING
