"url","page_type","source","search_intent","in_sitemap","indexable","live_status_checked","issue","recommended_action"
"/","home","physical","navigational","yes","yes","200 OK","FIXED P0: cosmetic domain corrected; demo rates anonymised + labelled illustrative","IMPROVE"
"/about","company","physical","navigational","yes","yes","","","KEEP"
"/contact","conversion","physical","transactional","yes","yes","","","KEEP"
"/how-it-works","company","physical","informational","yes","yes","","","KEEP"
"/boq-audit","service-tool","physical","commercial","yes","yes","","overlaps boq-review-chennai + contractor-quote-review-chennai","IMPROVE"
"/cost-estimator","tool","physical","commercial","yes","yes","","overlaps ai-construction-cost-estimator + construction-cost-estimation-chennai","IMPROVE"
"/plan-review","service","physical","commercial","yes","yes","","overlaps structural-plan-review-chennai + house-plan-review","IMPROVE"
"/property-passport","product","physical","commercial","yes","yes","","","KEEP"
"/properties","marketplace","physical","transactional","yes","yes","","","KEEP"
"/build","hub","physical","commercial","yes","yes","","overlaps construction-in-chennai + service pages","IMPROVE"
"/build/home-construction","service","physical","commercial","yes","yes","","cannibalises home-construction-chennai + house-construction-chennai","MERGE"
"/build/villa-construction","service","physical","commercial","yes","yes","","cannibalises /services/villa-construction; nav links broken /villa-construction","MERGE"
"/build/renovation","service","physical","commercial","yes","yes","","cannibalises renovation-contractors-chennai + renovation-construction","MERGE"
"/build/commercial","service","physical","commercial","no","yes","","cannibalises commercial-construction-chennai","MERGE"
"/build/warranty","info","physical","informational","no","yes","","overlaps warranty-and-maintenance","MERGE"
"/construction-in-chennai","hub","physical","commercial","yes","yes","","cannibalises construction-company-chennai cluster — decide hub vs money page","IMPROVE"
"/end-to-end-construction-support-chennai","service","physical","commercial","yes (duplicated)","yes","","was double-listed in sitemap (FIXED P0: dedupe)","IMPROVE"
"/boq-review-chennai","service","physical","commercial","yes (duplicated)","yes","","duplicate sitemap entry (FIXED P0: dedupe added)","IMPROVE"
"/structural-plan-review-chennai","service","physical","commercial","yes (duplicated)","yes","","duplicate sitemap entry (FIXED P0: dedupe added); overlaps plan-review + house-plan-review","IMPROVE"
"/steel-construction-chennai","service","physical","commercial","yes (duplicated)","yes","","duplicate sitemap entry (FIXED P0: dedupe added)","KEEP"
"/peb-building-contractors-chennai","service","physical","commercial","yes (duplicated)","yes","","duplicate sitemap entry (FIXED P0: dedupe added)","KEEP"
"/industrial-shed-construction-chennai","service","physical","commercial","yes (duplicated)","yes","","duplicate sitemap entry (FIXED P0: dedupe added)","KEEP"
"/boq-review-chennai","service","physical","commercial","yes","yes","","","KEEP"
"/quality-system","product","physical","commercial","yes","yes","","","KEEP"
"/warranty-and-maintenance","info","physical","informational","yes","yes","","overlaps /build/warranty","MERGE"
"/join-as-partner","conversion","physical","transactional","yes","yes","","","KEEP"
"/partner-os","product","physical","commercial","yes","yes","","","KEEP"
"/services","hub","physical","navigational","yes","yes","","","KEEP"
"/guides","hub","physical","informational","yes","yes","","overlaps /resources/guides","MERGE"
"/glossary","hub","physical","informational","yes","yes","","overlaps /resources/glossary","MERGE"
"/faqs","hub","physical","informational","yes","yes","","overlaps /resources/faqs","MERGE"
"/materials","hub","physical","commercial","yes","yes","","","KEEP"
"/locations","hub","physical","navigational","no","yes","","thin index; locations/chennai is real hub","IMPROVE"
"/locations/chennai","local-hub","physical","local-commercial","yes","yes","","","KEEP"
"/ai-tools","hub","physical","commercial","yes","yes","","","KEEP"
"/blog","hub","physical","informational","yes","yes","","","KEEP"
"/case-studies","hub","physical","informational","no","yes","","evidence asset — add to sitemap when populated","IMPROVE"
"/proof","evidence","physical","informational","no","yes","","","KEEP"
"/projects","evidence","physical","informational","no","yes","","","IMPROVE"
"/compare","hub","physical","informational","no","yes","","overlaps /resources/compare","MERGE"
"/specifications","info","physical","informational","yes","yes","","","KEEP"
"/disclaimer","legal","physical","navigational","no","yes","","","KEEP"
"/privacy-policy","legal","physical","navigational","yes","yes","","FIXED P0: hello@buildogram.in","IMPROVE"
"/terms","legal","physical","navigational","yes","yes","","FIXED P0: hello@buildogram.in","IMPROVE"
"/rentals","marketplace","physical","transactional","no","yes","","","IMPROVE"
"/resources","hub","physical","informational","no","yes","","duplicate resource tree — consolidate with /guides /faqs /glossary","MERGE"
"/maintenance","service","physical","commercial","yes","yes","","","KEEP"
"/review/contractor-quote","tool","physical","commercial","no","yes","","overlaps boq-audit + contractor-quote-review-chennai","MERGE"
"/review/hidden-costs","info","physical","informational","no","yes","","","IMPROVE"
"/review/specifications","info","physical","informational","no","yes","","","IMPROVE"
"/home-construction-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/house-construction-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","overlaps home-construction-chennai — SERP likely identical","IMPROVE"
"/residential-construction-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
"/commercial-construction-chennai","service","[serviceSlug] dynamic","local-commercial","yes","yes","","stats bar claims removed (FIXED P0 per owner decisions)","KEEP"
