# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# Encodes the owner's PROPOSED operating model (Phase 1D §3) for confirmation. 'Proposed classification' is a proposal, NOT confirmed fact. Repository/website presence is explicitly recorded as insufficient proof of operation.
# OV02 CONFIRMED 2026-07-25: quotation collector + sourcing coordinator + procurement consultant + supplier referral network + supplier directory + price-information publisher (restricted). NOT selected: direct seller, logistics coordinator.
capability,parent_segment,current_classification,proposed_classification,who_performs_the_work,who_contracts_with_client,who_invoices_client,who_is_professionally_responsible,who_provides_warranty,who_handles_complaints,current_operational_workflow,repository_evidence,website_claim,evidence_available,owner_confirmation,commercial_keyword_eligibility,informational_keyword_eligibility,directory_keyword_eligibility,locality_page_eligibility,schema_eligibility,cta_allowed,final_status
Construction calculators,Direct capability,OWNER_CONFIRMATION_REQUIRED (Phase 1C),DIGITAL SOFTWARE TOOL,Buildogram staff,Buildogram,Buildogram (if charged),Buildogram (software accuracy only),N/A — software,Buildogram,NOT_OBSERVED — no operational workflow data available in this environment,YES — app routes exist,Tool pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"YES — tool/product terms only, no service-delivery implication",YES,YES for directory,NO — tools are locality-agnostic,SoftwareApplication/WebApplication if accurate; never Product/Offer,Use tool / Get report,PROPOSED — AWAITING OWNER DECISION
BOQ Studio,Direct capability,OWNER_CONFIRMATION_REQUIRED (Phase 1C),DIGITAL SOFTWARE TOOL,Buildogram staff,Buildogram,Buildogram (if charged),Buildogram (software accuracy only),N/A — software,Buildogram,NOT_OBSERVED — no operational workflow data available in this environment,YES — app routes exist,Tool pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"YES — tool/product terms only, no service-delivery implication",YES,YES for directory,NO — tools are locality-agnostic,SoftwareApplication/WebApplication if accurate; never Product/Offer,Use tool / Get report,PROPOSED — AWAITING OWNER DECISION
Quotation-comparison tools,Direct capability,OWNER_CONFIRMATION_REQUIRED (Phase 1C),DIGITAL SOFTWARE TOOL,Buildogram staff,Buildogram,Buildogram (if charged),Buildogram (software accuracy only),N/A — software,Buildogram,NOT_OBSERVED — no operational workflow data available in this environment,YES — app routes exist,Tool pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"YES — tool/product terms only, no service-delivery implication",YES,YES for directory,NO — tools are locality-agnostic,SoftwareApplication/WebApplication if accurate; never Product/Offer,Use tool / Get report,PROPOSED — AWAITING OWNER DECISION
Property Passport,Direct capability,OWNER_CONFIRMATION_REQUIRED (Phase 1C),DIGITAL SOFTWARE TOOL,Buildogram staff,Buildogram,Buildogram (if charged),Buildogram (software accuracy only),N/A — software,Buildogram,NOT_OBSERVED — no operational workflow data available in this environment,YES — app routes exist,Tool pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"YES — tool/product terms only, no service-delivery implication",YES,YES for directory,NO — tools are locality-agnostic,SoftwareApplication/WebApplication if accurate; never Product/Offer,Use tool / Get report,PROPOSED — AWAITING OWNER DECISION
Construction tracking software,Direct capability,OWNER_CONFIRMATION_REQUIRED (Phase 1C),DIGITAL SOFTWARE TOOL,Buildogram staff,Buildogram,Buildogram (if charged),Buildogram (software accuracy only),N/A — software,Buildogram,NOT_OBSERVED — no operational workflow data available in this environment,YES — app routes exist,Tool pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"YES — tool/product terms only, no service-delivery implication",YES,YES for directory,NO — tools are locality-agnostic,SoftwareApplication/WebApplication if accurate; never Product/Offer,Use tool / Get report,PROPOSED — AWAITING OWNER DECISION
Site logbook and project-record systems,Direct capability,OWNER_CONFIRMATION_REQUIRED (Phase 1C),DIGITAL SOFTWARE TOOL,Buildogram staff,Buildogram,Buildogram (if charged),Buildogram (software accuracy only),N/A — software,Buildogram,NOT_OBSERVED — no operational workflow data available in this environment,YES — app routes exist,Tool pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"YES — tool/product terms only, no service-delivery implication",YES,YES for directory,NO — tools are locality-agnostic,SoftwareApplication/WebApplication if accurate; never Product/Offer,Use tool / Get report,PROPOSED — AWAITING OWNER DECISION
Partner and professional directory,Direct capability,OWNER_CONFIRMATION_REQUIRED (Phase 1C),PROFESSIONAL DIRECTORY,Buildogram staff,Buildogram,Buildogram (if charged),Buildogram (software accuracy only),N/A — software,Buildogram,NOT_OBSERVED — no operational workflow data available in this environment,YES — app routes exist,Tool pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"YES — tool/product terms only, no service-delivery implication",YES,YES for directory,NO — tools are locality-agnostic,SoftwareApplication/WebApplication if accurate; never Product/Offer,Use tool / Get report,PROPOSED — AWAITING OWNER DECISION
Construction guides and checklists,Direct capability,OWNER_CONFIRMATION_REQUIRED (Phase 1C),DIGITAL SOFTWARE TOOL,Buildogram staff,Buildogram,Buildogram (if charged),Buildogram (software accuracy only),N/A — software,Buildogram,NOT_OBSERVED — no operational workflow data available in this environment,YES — app routes exist,Tool pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"YES — tool/product terms only, no service-delivery implication",YES,YES for directory,NO — tools are locality-agnostic,SoftwareApplication/WebApplication if accurate; never Product/Offer,Use tool / Get report,PROPOSED — AWAITING OWNER DECISION
Material quotation workflow,Direct capability,OWNER_CONFIRMATION_REQUIRED (Phase 1C),DIGITAL SOFTWARE TOOL,Buildogram staff,Buildogram,Supplier invoices the customer (Buildogram may charge a disclosed sourcing/consultation/referral fee),Buildogram (software accuracy only),"Supplier — product availability, quality, GST, transport",Buildogram,NOT_OBSERVED — no operational workflow data available in this environment,YES — app routes exist,Tool pages live,Repository/page presence only — does NOT prove the service is operational,CONFIRMED (OV02 2026-07-25),"YES — tool/product terms only, no service-delivery implication",YES,YES for directory,NO — tools are locality-agnostic,SoftwareApplication/WebApplication if accurate; never Product/Offer,Use tool / Get report,CONFIRMED — BUILDOGRAM-MANAGED WORKFLOW
Price-observation publishing,Direct capability,OWNER_CONFIRMATION_REQUIRED (Phase 1C),DIGITAL SOFTWARE TOOL,Buildogram staff,Buildogram,Supplier invoices the customer (Buildogram may charge a disclosed sourcing/consultation/referral fee),Buildogram (software accuracy only),"Supplier — product availability, quality, GST, transport",Buildogram,NOT_OBSERVED — no operational workflow data available in this environment,YES — app routes exist,Tool pages live,Repository/page presence only — does NOT prove the service is operational,CONFIRMED (OV02 2026-07-25),"YES — tool/product terms only, no service-delivery implication",YES,YES for directory,NO — tools are locality-agnostic,SoftwareApplication/WebApplication if accurate; never Product/Offer,Use tool / Get report,CONFIRMED — BUILDOGRAM-MANAGED WORKFLOW
BOQ preparation,Buildogram-managed service,OWNER_CONFIRMATION_REQUIRED (Phase 1C),BUILDOGRAM-MANAGED SERVICE,Buildogram staff (to confirm headcount),Buildogram,Buildogram,Buildogram for the review/report; NOT for third-party execution or certification,None — advisory output,Buildogram,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"YES — advisory/review terms only. NOT 'contractor', 'builder' or 'certifier' terms",YES,NO,CONDITIONAL — only where owner confirms operating coverage,Service schema (provider = Buildogram),Request review / Talk to our team,PROPOSED — AWAITING OWNER DECISION
BOQ review,Buildogram-managed service,OWNER_CONFIRMATION_REQUIRED (Phase 1C),BUILDOGRAM-MANAGED SERVICE,Buildogram staff (to confirm headcount),Buildogram,Buildogram,Buildogram for the review/report; NOT for third-party execution or certification,None — advisory output,Buildogram,NOT_OBSERVED — no operational workflow data available in this environment,YES — pages exist,Service pages live,Repository/page presence only — does NOT prove the service is operational,PENDING,"YES — advisory/review terms only. NOT 'contractor', 'builder' or 'certifier' terms",YES,NO,CONDITIONAL — only where owner confirms operating coverage,Service schema (provider = Buildogram),Request review / Talk to our team,PROPOSED — AWAITING OWNER DECISION
