# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
segment,parent_category,subcategory,service,user_problem,audience,building_property_type,project_stage,current_domain_owner,existing_url,existing_repo_source,delivery_model,evidence_status,commercial_relevance,search_intent_families,local_applicability,owner_confirmation_required,research_priority
Construction execution,Build,Execution,House construction,Owner cannot manage builders/quality,Homeowner,Individual house,Execution,Buildogram,/home-construction-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — coordination vs direct execution unconfirmed,Repo content exists; delivery model unconfirmed,HIGH,"commercial,local,transactional",Chennai + corridors,YES,P1
Construction execution,Build,Execution,Home construction (G+1),Cost/scope unclear for multi-floor,Homeowner,G+1,Execution,Buildogram,/home-construction-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — coordination vs direct execution unconfirmed,Repo content exists; delivery model unconfirmed,HIGH,"commercial,local,transactional",Chennai + corridors,YES,P1
Construction execution,Build,Execution,Home construction (G+2),Cost/scope unclear for multi-floor,Homeowner,G+2,Execution,Buildogram,PENDING_ARCH_DECISION,none,OWNER_CONFIRMATION_REQUIRED — coordination vs direct execution unconfirmed,Repo content exists; delivery model unconfirmed,HIGH,"commercial,local,transactional",Chennai + corridors,YES,P1
Construction execution,Build,Execution,Villa construction,Premium spec control,Homeowner/NRI,Villa,Execution,Buildogram,/build/villa-construction,app route,OWNER_CONFIRMATION_REQUIRED — coordination vs direct execution unconfirmed,Repo content exists; delivery model unconfirmed,HIGH,"commercial,local,transactional",Chennai + corridors,YES,P1
Construction execution,Build,Execution,Duplex house construction,Layout + cost tradeoffs,Homeowner,Duplex,Execution,Buildogram,/services/duplex-house-construction,data/seo/services.js,OWNER_CONFIRMATION_REQUIRED — coordination vs direct execution unconfirmed,Repo content exists; delivery model unconfirmed,HIGH,"commercial,local,transactional",Chennai + corridors,YES,P1
Construction execution,Build,Execution,Residential construction,General residential build,Homeowner,Residential,Execution,Buildogram,/residential-construction-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — coordination vs direct execution unconfirmed,Repo content exists; delivery model unconfirmed,HIGH,"commercial,local,transactional",Chennai + corridors,YES,P1
Construction execution,Build,Execution,Apartment construction,Multi-unit delivery,Developer/landowner,Apartment,Execution,Buildogram,PENDING_ARCH_DECISION,none,OWNER_CONFIRMATION_REQUIRED — coordination vs direct execution unconfirmed,Repo content exists; delivery model unconfirmed,HIGH,"commercial,local,transactional",Chennai + corridors,YES,P1
Construction execution,Build,Execution,Commercial construction,Fitout + compliance,Business owner,Commercial,Execution,Buildogram,/commercial-construction-chennai,data/services.js,OWNER_CONFIRMATION_REQUIRED — coordination vs direct execution unconfirmed,Repo content exists; delivery model unconfirmed,HIGH,"commercial,local,transactional",Chennai + corridors,YES,P1
Construction execution,Build,Execution,Office construction,Office build/fitout,Business owner,Office,Execution,Buildogram,PENDING_ARCH_DECISION,none,OWNER_CONFIRMATION_REQUIRED — coordination vs direct execution unconfirmed,Repo content exists; delivery model unconfirmed,HIGH,"commercial,local,transactional",Chennai + corridors,YES,P1
Construction execution,Build,Execution,Shop / retail construction,Retail build,Business owner,Shop,Execution,Buildogram,PENDING_ARCH_DECISION,none,OWNER_CONFIRMATION_REQUIRED — coordination vs direct execution unconfirmed,Repo content exists; delivery model unconfirmed,HIGH,"commercial,local,transactional",Chennai + corridors,YES,P1
