# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# PROVISIONAL PLANNING CANDIDATES — NOT PRIORITISED BY SEARCH OR CONVERSION EVIDENCE. — the only file that may inform provisional content-format decisions. Still contains ZERO observed queries; every row remains a hypothesis until first-party evidence lands.
# OV02 CONFIRMED 2026-07-25: quotation collector + sourcing coordinator + procurement consultant + supplier referral network + supplier directory + price-information publisher (restricted). NOT selected: direct seller, logistics coordinator.
query,normalised_query,language,query_family,parent_topic,domain_owner,service_or_property_category,locality,audience,funnel_stage,search_intent,likely_serp_type,local_pack_relevance,ai_answer_relevance,existing_page,possible_canonical_page,current_ranking,search_volume,cpc,difficulty,first_party_baseline_status,evidence_required,business_model_confirmation,provisional_priority,final_priority_status,recommended_content_format,page_creation_status,discovery_method,discovery_source,source_query,source_url_or_dataset,observed_or_generated,serp_validated,serp_validation_date,serp_location,serp_language,serp_device,exact_duplicate_group,semantic_duplicate_group,modifier_only_variant,natural_language_quality,business_model_compatible,local_intent_strength,requires_separate_page,recommended_parent_cluster,validation_status,pillar,segment,service_family,intent_cluster,sub_intent,validation_score,evidence_tier,score_cap_applied,validation_score_v2,validation_band_v2,universe_assignment,materials_model_status,commercial_targeting_permitted,informational_targeting_permitted,schema_permitted
construction company chennai,construction company chennai,en,service+geo,Construction execution,Buildogram,Construction execution,Chennai,Owner/business,Consideration,commercial-local,Organic + local pack,HIGH,HIGH,/construction-company-chennai,/construction-company-chennai,PENDING_GSC,PENDING_VALIDATED_PROVIDER,PENDING_VALIDATED_PROVIDER,PENDING_VALIDATED_PROVIDER,PENDING_GSC/PENDING_GA4/PENDING_GBP/PENDING_BING,Delivery-model disclosure; no unsupported credentials,Delivery model,P1,PROVISIONAL — P0 AND DATA GATES PENDING,Chennai service hub,NOT_AUTHORISED — research only,Repository terminology,"Buildogram data/services.js, data/seo/*, live nav + portal category pages",construction company chennai,"Buildogram data/services.js, data/seo/*, live nav + portal category pages",VALIDATED SEARCH VARIANT,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED (target: Chennai),NOT_PERFORMED (target: en/ta),NOT_PERFORMED (target: mobile+desktop),,SEM:company construction,NO,NATURAL — standard head term,COMPATIBLE (subject to owner confirmation),HIGH,PENDING — cluster decision,Construction execution,VALIDATED SEARCH VARIANT,Build,Construction delivery,Construction execution,Provider seeking,Provider seeking / service+geo,90,Repository-derived phrase without SERP evidence,49,49,PLAUSIBLE HYPOTHESIS,EVIDENCE-BACKED (02b),N/A — not a materials query,,,
building construction company chennai,building construction company chennai,en,service+geo,Construction execution,Buildogram,Construction execution,Chennai,Owner/business,Consideration,commercial-local,Organic + local pack,HIGH,HIGH,/construction-company-chennai,/construction-company-chennai,PENDING_GSC,PENDING_VALIDATED_PROVIDER,PENDING_VALIDATED_PROVIDER,PENDING_VALIDATED_PROVIDER,PENDING_GSC/PENDING_GA4/PENDING_GBP/PENDING_BING,Delivery-model disclosure; no unsupported credentials,Delivery model,P1,PROVISIONAL — P0 AND DATA GATES PENDING,Chennai service hub,NOT_AUTHORISED — research only,Repository terminology,"Buildogram data/services.js, data/seo/*, live nav + portal category pages",building construction company chennai,"Buildogram data/services.js, data/seo/*, live nav + portal category pages",VALIDATED SEARCH VARIANT,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED (target: Chennai),NOT_PERFORMED (target: en/ta),NOT_PERFORMED (target: mobile+desktop),,SEM:building company construction,NO,NATURAL — standard head term,COMPATIBLE (subject to owner confirmation),HIGH,PENDING — cluster decision,Construction execution,VALIDATED SEARCH VARIANT,Build,Construction delivery,Construction execution,Provider seeking,Provider seeking / service+geo,90,Repository-derived phrase without SERP evidence,49,49,PLAUSIBLE HYPOTHESIS,EVIDENCE-BACKED (02b),N/A — not a materials query,,,
house construction chennai,house construction chennai,en,service+geo,Construction execution,Buildogram,Construction execution,Chennai,Owner/business,Consideration,commercial-local,Organic + local pack,HIGH,HIGH,/house-construction-chennai,/house-construction-chennai,PENDING_GSC,PENDING_VALIDATED_PROVIDER,PENDING_VALIDATED_PROVIDER,PENDING_VALIDATED_PROVIDER,PENDING_GSC/PENDING_GA4/PENDING_GBP/PENDING_BING,Delivery-model disclosure; no unsupported credentials,Delivery model,P1,PROVISIONAL — P0 AND DATA GATES PENDING,Chennai service hub,NOT_AUTHORISED — research only,Repository terminology,"Buildogram data/services.js, data/seo/*, live nav + portal category pages",house construction chennai,"Buildogram data/services.js, data/seo/*, live nav + portal category pages",VALIDATED SEARCH VARIANT,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED (target: Chennai),NOT_PERFORMED (target: en/ta),NOT_PERFORMED (target: mobile+desktop),,SEM:construction house,NO,NATURAL — standard head term,COMPATIBLE (subject to owner confirmation),HIGH,PENDING — cluster decision,Construction execution,VALIDATED SEARCH VARIANT,Build,Construction delivery,Construction execution,General service interest,General service interest / service+geo,90,Repository-derived phrase without SERP evidence,49,49,PLAUSIBLE HYPOTHESIS,EVIDENCE-BACKED (02b),N/A — not a materials query,,,
home construction chennai,home construction chennai,en,service+geo,Construction execution,Buildogram,Construction execution,Chennai,Owner/business,Consideration,commercial-local,Organic + local pack,HIGH,HIGH,/home-construction-chennai,/home-construction-chennai,PENDING_GSC,PENDING_VALIDATED_PROVIDER,PENDING_VALIDATED_PROVIDER,PENDING_VALIDATED_PROVIDER,PENDING_GSC/PENDING_GA4/PENDING_GBP/PENDING_BING,Delivery-model disclosure; no unsupported credentials,Delivery model,P1,PROVISIONAL — P0 AND DATA GATES PENDING,Chennai service hub,NOT_AUTHORISED — research only,Repository terminology,"Buildogram data/services.js, data/seo/*, live nav + portal category pages",home construction chennai,"Buildogram data/services.js, data/seo/*, live nav + portal category pages",VALIDATED SEARCH VARIANT,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED (target: Chennai),NOT_PERFORMED (target: en/ta),NOT_PERFORMED (target: mobile+desktop),,,NO,NATURAL — standard head term,COMPATIBLE (subject to owner confirmation),HIGH,PENDING — cluster decision,Construction execution,VALIDATED SEARCH VARIANT,Build,Construction delivery,Construction execution,General service interest,General service interest / service+geo,90,Repository-derived phrase without SERP evidence,49,49,PLAUSIBLE HYPOTHESIS,EVIDENCE-BACKED (02b),N/A — not a materials query,,,
residential construction chennai,residential construction chennai,en,service+geo,Construction execution,Buildogram,Construction execution,Chennai,Owner/business,Consideration,commercial-local,Organic + local pack,HIGH,HIGH,/residential-construction-chennai,/residential-construction-chennai,PENDING_GSC,PENDING_VALIDATED_PROVIDER,PENDING_VALIDATED_PROVIDER,PENDING_VALIDATED_PROVIDER,PENDING_GSC/PENDING_GA4/PENDING_GBP/PENDING_BING,Delivery-model disclosure; no unsupported credentials,Delivery model,P1,PROVISIONAL — P0 AND DATA GATES PENDING,Chennai service hub,NOT_AUTHORISED — research only,Repository terminology,"Buildogram data/services.js, data/seo/*, live nav + portal category pages",residential construction chennai,"Buildogram data/services.js, data/seo/*, live nav + portal category pages",VALIDATED SEARCH VARIANT,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED (target: Chennai),NOT_PERFORMED (target: en/ta),NOT_PERFORMED (target: mobile+desktop),,,NO,NATURAL — standard head term,COMPATIBLE (subject to owner confirmation),HIGH,PENDING — cluster decision,Construction execution,VALIDATED SEARCH VARIANT,Build,Construction delivery,Construction execution,General service interest,General service interest / service+geo,90,Repository-derived phrase without SERP evidence,49,49,PLAUSIBLE HYPOTHESIS,EVIDENCE-BACKED (02b),N/A — not a materials query,,,
individual house construction chennai,individual house construction chennai,en,service+geo,Construction execution,Buildogram,Construction execution,Chennai,Owner/business,Consideration,commercial-local,Organic + local pack,HIGH,HIGH,PENDING,PENDING — architecture decision,PENDING_GSC,PENDING_VALIDATED_PROVIDER,PENDING_VALIDATED_PROVIDER,PENDING_VALIDATED_PROVIDER,PENDING_GSC/PENDING_GA4/PENDING_GBP/PENDING_BING,Delivery-model disclosure; no unsupported credentials,Delivery model,P1,PROVISIONAL — P0 AND DATA GATES PENDING,Chennai service hub,NOT_AUTHORISED — research only,Repository terminology,"Buildogram data/services.js, data/seo/*, live nav + portal category pages",individual house construction chennai,"Buildogram data/services.js, data/seo/*, live nav + portal category pages",VALIDATED SEARCH VARIANT,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED (target: Chennai),NOT_PERFORMED (target: en/ta),NOT_PERFORMED (target: mobile+desktop),,,NO,NATURAL — standard head term,COMPATIBLE (subject to owner confirmation),HIGH,PENDING — cluster decision,Construction execution,VALIDATED SEARCH VARIANT,Build,Construction delivery,Construction execution,General service interest,General service interest / service+geo,84,Repository-derived phrase without SERP evidence,49,49,PLAUSIBLE HYPOTHESIS,EVIDENCE-BACKED (02b),N/A — not a materials query,,,
villa construction chennai,villa construction chennai,en,service+geo,Construction execution,Buildogram,Construction execution,Chennai,Owner/business,Consideration,commercial-local,Organic + local pack,HIGH,HIGH,/build/villa-construction,/build/villa-construction,PENDING_GSC,PENDING_VALIDATED_PROVIDER,PENDING_VALIDATED_PROVIDER,PENDING_VALIDATED_PROVIDER,PENDING_GSC/PENDING_GA4/PENDING_GBP/PENDING_BING,Delivery-model disclosure; no unsupported credentials,Delivery model,P1,PROVISIONAL — P0 AND DATA GATES PENDING,Chennai service hub,NOT_AUTHORISED — research only,Repository terminology,"Buildogram data/services.js, data/seo/*, live nav + portal category pages",villa construction chennai,"Buildogram data/services.js, data/seo/*, live nav + portal category pages",VALIDATED SEARCH VARIANT,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED (target: Chennai),NOT_PERFORMED (target: en/ta),NOT_PERFORMED (target: mobile+desktop),,,NO,NATURAL — standard head term,COMPATIBLE (subject to owner confirmation),HIGH,PENDING — cluster decision,Construction execution,VALIDATED SEARCH VARIANT,Build,Construction delivery,Construction execution,General service interest,General service interest / service+geo,90,Repository-derived phrase without SERP evidence,49,49,PLAUSIBLE HYPOTHESIS,EVIDENCE-BACKED (02b),N/A — not a materials query,,,
duplex house construction chennai,duplex house construction chennai,en,service+geo,Construction execution,Buildogram,Construction execution,Chennai,Owner/business,Consideration,commercial-local,Organic + local pack,HIGH,HIGH,/services/duplex-house-construction,/services/duplex-house-construction,PENDING_GSC,PENDING_VALIDATED_PROVIDER,PENDING_VALIDATED_PROVIDER,PENDING_VALIDATED_PROVIDER,PENDING_GSC/PENDING_GA4/PENDING_GBP/PENDING_BING,Delivery-model disclosure; no unsupported credentials,Delivery model,P1,PROVISIONAL — P0 AND DATA GATES PENDING,Chennai service hub,NOT_AUTHORISED — research only,Repository terminology,"Buildogram data/services.js, data/seo/*, live nav + portal category pages",duplex house construction chennai,"Buildogram data/services.js, data/seo/*, live nav + portal category pages",VALIDATED SEARCH VARIANT,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED (target: Chennai),NOT_PERFORMED (target: en/ta),NOT_PERFORMED (target: mobile+desktop),,,NO,NATURAL — standard head term,COMPATIBLE (subject to owner confirmation),HIGH,PENDING — cluster decision,Construction execution,VALIDATED SEARCH VARIANT,Build,Construction delivery,Construction execution,General service interest,General service interest / service+geo,90,Repository-derived phrase without SERP evidence,49,49,PLAUSIBLE HYPOTHESIS,EVIDENCE-BACKED (02b),N/A — not a materials query,,,
apartment construction chennai,apartment construction chennai,en,service+geo,Construction execution,Buildogram,Construction execution,Chennai,Owner/business,Consideration,commercial-local,Organic + local pack,HIGH,HIGH,PENDING,PENDING — architecture decision,PENDING_GSC,PENDING_VALIDATED_PROVIDER,PENDING_VALIDATED_PROVIDER,PENDING_VALIDATED_PROVIDER,PENDING_GSC/PENDING_GA4/PENDING_GBP/PENDING_BING,Delivery-model disclosure; no unsupported credentials,Delivery model,P1,PROVISIONAL — P0 AND DATA GATES PENDING,Chennai service hub,NOT_AUTHORISED — research only,Repository terminology,"Buildogram data/services.js, data/seo/*, live nav + portal category pages",apartment construction chennai,"Buildogram data/services.js, data/seo/*, live nav + portal category pages",VALIDATED SEARCH VARIANT,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED (target: Chennai),NOT_PERFORMED (target: en/ta),NOT_PERFORMED (target: mobile+desktop),,,NO,NATURAL — standard head term,COMPATIBLE (subject to owner confirmation),HIGH,PENDING — cluster decision,Construction execution,VALIDATED SEARCH VARIANT,Build,Construction delivery,Construction execution,General service interest,General service interest / service+geo,84,Repository-derived phrase without SERP evidence,49,49,PLAUSIBLE HYPOTHESIS,EVIDENCE-BACKED (02b),N/A — not a materials query,,,
commercial construction chennai,commercial construction chennai,en,service+geo,Construction execution,Buildogram,Construction execution,Chennai,Owner/business,Consideration,commercial-local,Organic + local pack,HIGH,HIGH,/commercial-construction-chennai,/commercial-construction-chennai,PENDING_GSC,PENDING_VALIDATED_PROVIDER,PENDING_VALIDATED_PROVIDER,PENDING_VALIDATED_PROVIDER,PENDING_GSC/PENDING_GA4/PENDING_GBP/PENDING_BING,Delivery-model disclosure; no unsupported credentials,Delivery model,P1,PROVISIONAL — P0 AND DATA GATES PENDING,Chennai service hub,NOT_AUTHORISED — research only,Repository terminology,"Buildogram data/services.js, data/seo/*, live nav + portal category pages",commercial construction chennai,"Buildogram data/services.js, data/seo/*, live nav + portal category pages",VALIDATED SEARCH VARIANT,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED (target: Chennai),NOT_PERFORMED (target: en/ta),NOT_PERFORMED (target: mobile+desktop),,,NO,NATURAL — standard head term,COMPATIBLE (subject to owner confirmation),HIGH,PENDING — cluster decision,Construction execution,VALIDATED SEARCH VARIANT,Build,Construction delivery,Construction execution,General service interest,General service interest / service+geo,90,Repository-derived phrase without SERP evidence,49,49,PLAUSIBLE HYPOTHESIS,EVIDENCE-BACKED (02b),N/A — not a materials query,,,
