page_family,primary_placement_slot,secondary_placement_slot,placement_rationale,has_existing_strong_form,competing_form_action
home,after-hero,page-end,Homepage intent is broad. Place form immediately after hero and value-prop section to capture high-intent visitors. A secondary slot at page-end catches scroll-through visitors.,No,N/A
service,after-process,page-end,Service pages explain what Buildogram does first. Form after the process/scope section captures users who have read and understood the service. Secondary slot at page-end for scroll-through visitors.,Sometimes (partial form),If existing partial form present: inject contextual question as third field. Do not duplicate form.
service-hub,after-process,after-scope,Service hub pages are long-form SEO landing pages. Form after process section is the highest-intent placement. Secondary slot after scope list for users who skip ahead.,Sometimes,Same rule: contextualise existing form rather than adding a competing one. Hub pages often have a contact CTA block.
material,after-scope,page-end,Material pages describe product specs and use cases first. Form after the spec/scope section when user understands the material. CTA must use material sourcing language.,No,N/A
guide,after-first-answer,page-end,RULE: Never before the main article content. Form must appear after the full guide body. Secondary slot at page-end. This is non-negotiable for awareness pages.,No,N/A
glossary,after-first-answer,page-end,RULE: Never interrupt the term definition. Form appears after the definition and related terms. Glossary pages are short; page-end secondary slot is immediately below.,No,N/A
faq,after-first-answer,page-end,RULE: FAQ answers must appear in full before any form. Form placed after Q&A block; before related guides section. Secondary slot at page-end.,No,N/A
compare,after-first-answer,page-end,Comparison pages must show the full table and verdict before a form. Form placed after verdict/recommendation section. Secondary at page-end.,No,N/A
location-area,after-hero,page-end,Location area pages have an area intro hero. Form immediately after hero+intro captures users who know they need services in that area. Secondary at page-end.,No,N/A
location-service,after-scope,page-end,Highest-intent page family. Form after the service scope section for this specific area. These pages are often short; page-end and after-scope may be close together.,Sometimes,Contextualise existing form if present. Do not add competing form.
calculator,after-result,page-end,RULE: Form must never appear before the calculator result. Only shown after result is displayed. This is non-negotiable. Secondary at page-end for users who scroll past result.,Sometimes (result CTA),If existing result CTA links to a form: contextualise it with the calculator use question. Do not add parallel form.
partner-listing,page-end,sidebar,Listing pages are browse-mode. Form at page-end avoids interrupting the listing. Sidebar slot for desktop only as a persistent but non-intrusive option.,No,N/A
partner-profile,after-scope,page-end,Profile pages have a professional overview/scope section. Form after that section clarifies Buildogram's role (not the partner's contact). Critical to brand as Buildogram enquiry.,No,N/A
proof,after-first-answer,page-end,Proof pages tell a story. Form after the outcome/result section of the story. Do not place form mid-narrative. Secondary at page-end.,No,N/A
case-study,after-first-answer,page-end,Case study pages are longer narratives. Form after the outcome/savings section. Do not interrupt the case study body. Secondary at page-end.,No,N/A
about,page-end,after-process,About page is trust-building. Form at page-end respects the trust narrative. If page has a process/how-it-works section: secondary slot after that process block.,No,N/A
how-it-works,after-process,page-end,Process explanation pages convert well after the final step. Form after the last step in the process flow. Secondary at page-end.,No,N/A
contact,N/A (existing form),N/A,Contact page already has a strong primary form that IS the page purpose. Do NOT add any competing inline form. Only action: inject contextual third question into existing form. Widget remains for WhatsApp alternative.,Yes (strong primary form),Contextualise existing form only. No second form added. Widget provides WhatsApp alternative.
resources,page-end,N/A,Resources index pages are navigation hubs. Users are browsing, not ready to enquire. If a form is shown at all, it is only at page-end. Preference is widget-only for index pages.,No,Widget only preferred. Form optional at page-end if page analytics show dwell time justifies it.
partner-listing (sub-type),page-end,sidebar,Same as partner-listing. Sidebar only on desktop. Never interrupt the professional directory grid with a form.,No,N/A
