id,location,exact_claim,claim_type,risk,why_verification_needed,evidence_required,safer_temporary_wording,block_publication,p0_status,register_section
CL01,src/data/services.js line 29 (stats bar on ~43 service pages),500+ Projects Supported,volume claim,HIGH,Displayed sitewide on every service page; no supporting data found in repo,Project register / CRM export with count methodology,Remove stat or state actual verifiable number,YES until verified,REMOVED 2026-07-25 (all instances incl. about/end-to-end/locations/EngineerCredibility),1. Removed or softened — restorable with evidence
CL02,src/data/services.js line 29,₹12.8Cr Average Project Value,financial claim,HIGH,Precise figure with no source,Project value dataset + calculation method,Remove until dataset exists,YES until verified,REMOVED 2026-07-25 (incl. ₹2.1Cr and ₹50Cr+ variants),1. Removed or softened — restorable with evidence
CL03,src/data/services.js line 29,18% Average Client Savings,savings claim,HIGH,Specific average savings figure; legally sensitive marketing claim,Documented before/after BOQ comparisons across a defined sample,'Our reviews frequently identify avoidable costs' (no number),YES until verified,REPLACED with factual wording 2026-07-25,1. Removed or softened — restorable with evidence
CL04,src/data/services.js line 29,10-Year Partner Warranty*,warranty claim,HIGH,Warranty is a contractual promise; asterisk has no visible terms,Actual warranty terms document + who underwrites it,Remove or link to full written warranty terms,YES until verified,REMOVED 2026-07-25 (stats bars),1. Removed or softened — restorable with evidence
CL05,src/data/services.js (structural audit pages h1/meta),Certified Structural Audit Services / certified structural engineers,credential claim,HIGH,'Certified' implies specific certification; certifying body not named,"Engineer registrations (e.g. chartered/licensed SE numbers), org certifications",'Experienced structural engineers' or name the actual registration,YES until verified,"REWORDED to ""structural engineering professionals"" 2026-07-25 (readiness pass 2)",1. Removed or softened — restorable with evidence
CL06,live /structural-audit-chennai body,All technical reviews are performed by licensed structural engineers,credential claim,HIGH,'Licensed' must map to a real licensure/registration scheme,Named engineers + registration numbers,'Reviewed by qualified structural engineers' + engineer profiles,YES until verified,"REWORDED to ""structural engineering professionals"" 2026-07-25 (readiness pass 2)",1. Removed or softened — restorable with evidence
CL07,src/data/seo/serviceHubs.js line 401,BOQ reviews typically identify savings of 8–15% of project cost; ₹4–7.5L on a ₹50L project,savings claim,HIGH,Quantified savings range presented as typical,Sample of anonymised BOQ review outcomes,'Reviews often surface overpriced line items and missing scope' (no %),YES until verified,REPLACED with variable-outcome wording 2026-07-25 (also materials 8–15% retail claim),1. Removed or softened — restorable with evidence
CL08,homepage TMT price comparison table,"Sri Ram Steels (Verified) JSW 500D ₹68,500/MT 'Live Rates' etc.",price/vendor claim,HIGH,"Displays named suppliers, 'Verified' status and specific live rates — appears to be demo data",Real supplier agreements + live rate feed + verification procedure,"Label clearly as illustrative example, or remove names/rates",YES until verified,ANONYMISED + labelled Illustrative Example 2026-07-25,1. Removed or softened — restorable with evidence
CL09,homepage + partner pages,"Verified Partner Network / vetted for quality, reliability and past project records",verification claim,MEDIUM,'Verified' implies a documented vetting process,Written partner verification checklist + evidence it is applied,'Partners screened by our team' + publish the screening criteria,NO but fix wording,REPLACED with neutral Partner Network wording 2026-07-25 (readiness pass 2),1. Removed or softened — restorable with evidence
CL10,live /structural-audit-chennai FAQ,"Basic visual inspection starts around ₹10,000",price claim,MEDIUM,Public price anchor; needs to reflect actual pricing,Current rate card,'Pricing depends on building size — request a quote' or verified figure + date,NO but verify,REPLACED with quote-based wording 2026-07-25,1. Removed or softened — restorable with evidence
