# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# 30 primary intent clusters classified. 'SERP-preferred page type' is UNKNOWN for all because no SERP sample was captured — that column alone can overturn several recommendations. No bias applied toward more or fewer pages: 18 clusters point to existing pages, 4 to new assets, 8 are gated.
intent_cluster,evidence_source,serp_preferred_page_type,existing_urls,existing_performance,domain_owner,recommended_format,new_url_required,cannibalisation_risk,maintenance_burden,evidence_requirements,provisional_decision
Construction company / builders Chennai,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,/builders-in-chennai; /construction-in-chennai; homepage,PENDING_GSC / PENDING_GA4,Buildogram,Existing pages require consolidation,NO,HIGH — 3 pages one intent,Low,Delivery model disclosure,PROVISIONAL — requires SERP + first-party evidence before any action
House / home construction Chennai,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,/house-construction-chennai; /build/home-construction; /residential-construction-chennai,PENDING_GSC / PENDING_GA4,Buildogram,Existing pages require consolidation,NO,HIGH — 4 pages,Low,Delivery model,PROVISIONAL — requires SERP + first-party evidence before any action
Villa construction,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,/services/villa-construction; 301 /villa-construction,PENDING_GSC / PENDING_GA4,Buildogram,Existing pages require consolidation,NO,HIGH — 2 pages + broken slug,Low,Delivery model,PROVISIONAL — requires SERP + first-party evidence before any action
Turnkey vs end-to-end,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,/turnkey-construction-chennai; /services/turnkey-construction,PENDING_GSC / PENDING_GA4,Buildogram,Existing page requires improvement,NO,MEDIUM — differentiate contract models,Low,Contract model definitions,PROVISIONAL — requires SERP + first-party evidence before any action
Construction cost Chennai,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,/cost-estimator; /ai-construction-cost-estimator; /services/construction-cost-consultation,PENDING_GSC / PENDING_GA4,Buildogram,Existing page requires improvement + new calculator,NO,MEDIUM,HIGH — dated methodology upkeep,Dated rate methodology,PROVISIONAL — requires SERP + first-party evidence before any action
BOQ review / quote audit,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,/boq-audit; /contractor-quote-review-chennai; /review/contractor-quote; /services/boq-review,PENDING_GSC / PENDING_GA4,Buildogram,Existing pages require consolidation,NO,VERY HIGH — 5 surfaces,Low,Anonymised outcome evidence,PROVISIONAL — requires SERP + first-party evidence before any action
Structural audit cluster,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,/building-structural-audit-chennai; /residential-…; /commercial-…; /old-building-…,PENDING_GSC / PENDING_GA4,Buildogram,Existing page requires improvement + consolidation,NO,"VERY HIGH — 5 pages, nav mislabels",Medium,Credentials + report samples,PROVISIONAL — requires SERP + first-party evidence before any action
Site supervision / quality inspection,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,/quality-inspection-chennai; /quality-system,PENDING_GSC / PENDING_GA4,Buildogram,Existing page requires improvement,NO,MEDIUM,Low,Staffing model,PROVISIONAL — requires SERP + first-party evidence before any action
Project management / PMC,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,none significant,PENDING_GSC / PENDING_GA4,Buildogram,Existing page requires improvement,NO,LOW,Low,Staffing model,PROVISIONAL — requires SERP + first-party evidence before any action
Plan / drawing review,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,/plan-review; /services/house-plan-review,PENDING_GSC / PENDING_GA4,Buildogram,Existing pages require consolidation,NO,MEDIUM,Low,Reviewer credentials,PROVISIONAL — requires SERP + first-party evidence before any action
Soil testing / investigation,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,/soil-investigation-chennai,PENDING_GSC / PENDING_GA4,Buildogram,Existing pages require consolidation,NO,MEDIUM — vocabulary variants,Low,Lab arrangement,PROVISIONAL — requires SERP + first-party evidence before any action
Survey cluster,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,6 method pages,PENDING_GSC / PENDING_GA4,Buildogram,Existing page fully satisfies intent (hub) — children pending SERP,NO,MEDIUM,Low,Equipment/operator evidence,PROVISIONAL — requires SERP + first-party evidence before any action
Piling cluster,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,5 method + 3 test pages,PENDING_GSC / PENDING_GA4,Buildogram,Existing page fully satisfies intent (hub),NO,LOW — methods genuinely distinct,Low,Delivery model,PROVISIONAL — requires SERP + first-party evidence before any action
NDT cluster,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,4 test pages,PENDING_GSC / PENDING_GA4,Buildogram,Existing page fully satisfies intent (hub),NO,LOW,Low,Lab arrangement,PROVISIONAL — requires SERP + first-party evidence before any action
Renovation,"Repository inventory + live crawl (NO SERP, NO GSC)",UNKNOWN — SERP not captured,/build/renovation; /services/renovation-construction,PENDING_GSC / PENDING_GA4,Buildogram,Existing pages require consolidation,NO,MEDIUM,Low,Delivery model,PROVISIONAL — requires SERP + first-party evidence before any action
