"File","Line","Column","Severity","Rule","Message","Route or component","Public or private","Introduced by current feature branch","Pre-existing","Proposed fix","Behavioural risk","Batch","Status"
".agents/skills/seo-audit/electron/renderer/hooks/useAuditHistory.ts","53","5","error","react-compiler","Error: Calling setState synchronously within an effect can trigger cascading renders",".agents/skills/seo-audit/electron/renderer/hooks/useAuditHistory.ts","Shared","No","Yes","Inspect component; refactor compiler/parser violation without suppression","High","1","Open"
"src/app/MobileMenuClient.js","14","5","error","react-compiler","Error: Calling setState synchronously within an effect can trigger cascading renders","src/app/MobileMenuClient.js","Public","No","Yes","Inspect component; refactor compiler/parser violation without suppression","High","1","Open"
"src/app/about/page.js","121","13","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/contact/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/about","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/about/page.js","122","13","error","@next/next/no-html-link-for-pages","Do not use an `<a>` element to navigate to `/how-it-works/`. Use `<Link />` from `next/link` instead. See: https://nextjs.org/docs/messages/no-html-link-for-pages","/about","Public","Yes","No","Use next/link for internal navigation; preserve external anchors","Medium","2","Open"
"src/app/admin/dashboard/page.js","6","58","warning","react-hooks/exhaustive-deps","React Hook useEffect has a missing dependency: 'router'. Either include it or remove the dependency array","/admin/dashboard","Private","No","Yes","Classify effect and stabilise dependencies/cleanup without request loops","High","4","Open"
"src/app/admin/leads/page.js","6","54","warning","react-hooks/exhaustive-deps","React Hook useEffect has a missing dependency: 'router'. Either include it or remove the dependency array","/admin/leads","Private","No","Yes","Classify effect and stabilise dependencies/cleanup without request loops","High","4","Open"
"src/app/admin/partners/page.js","6","57","warning","react-hooks/exhaustive-deps","React Hook useEffect has a missing dependency: 'router'. Either include it or remove the dependency array","/admin/partners","Private","No","Yes","Classify effect and stabilise dependencies/cleanup without request loops","High","4","Open"
"src/app/admin/projects/page.js","6","57","warning","react-hooks/exhaustive-deps","React Hook useEffect has a missing dependency: 'router'. Either include it or remove the dependency array","/admin/projects","Private","No","Yes","Classify effect and stabilise dependencies/cleanup without request loops","High","4","Open"
"src/app/admin/suppliers/page.js","6","75","warning","react-hooks/exhaustive-deps","React Hook useEffect has a missing dependency: 'router'. Either include it or remove the dependency array","/admin/suppliers","Private","No","Yes","Classify effect and stabilise dependencies/cleanup without request loops","High","4","Open"
"src/app/ai-floor-plan-creator/components/FloorPlanCanvas.js","75","7","error","react-compiler","Error: Calling setState synchronously within an effect can trigger cascading renders","src/app/ai-floor-plan-creator/components/FloorPlanCanvas.js","Public","No","Yes","Inspect component; refactor compiler/parser violation without suppression","High","1","Open"
