# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# All 161 localities enumerated with the 10 modifier forms to test. EVERY classification is INSUFFICIENT EVIDENCE — no search-behaviour data could be obtained here. Populate after GSC connection + autocomplete capture.
locality,parent_zone_or_body,corridor,construction_search_identity,property_rent_search_identity,property_sale_search_identity,material_search_identity,professional_service_search_identity,modifier_forms_to_test,evidence_source,classification_basis,status
Tiruvottiyur,Zone 1 (Tiruvottiyur),North Chennai industrial,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Kathivakkam,Zone 1 (Tiruvottiyur),North Chennai industrial,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Ennore,Zone 1 (Tiruvottiyur),North Chennai industrial,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Wimco Nagar,Zone 1 (Tiruvottiyur),North Chennai industrial,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Manali,Zone 2 (Manali),North Chennai industrial,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Manali New Town,Zone 2 (Manali),North Chennai industrial,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Mathur,Zone 2 (Manali),North Chennai industrial,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Madhavaram,Zone 3 (Madhavaram),North Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Puzhal,Zone 3 (Madhavaram),North Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Red Hills,Zone 3 (Madhavaram),North Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Surapet,Zone 3 (Madhavaram),North Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
