# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# Owner's B6 instruction: coverage is decided by ZONE/CORRIDOR, not by asking 'do you serve all Chennai'. 13 zones. A partner's willingness to travel does NOT constitute coverage.
zone_or_corridor,representative_localities,direct_staff_coverage,managed_partner_coverage,referral_coverage_only,informational_coverage_only,not_served,owner_decision,commercial_locality_targeting_permitted,evidence_required
Central Chennai,"T Nagar, Nungambakkam, Egmore, Kilpauk, Mylapore, Alwarpet, Royapettah",☐,☐,☐,☐,☐,OWNER_CONFIRMATION_REQUIRED,NO — blocked until a coverage model is selected,"Travel radius, partner presence, past project or inspection evidence per zone"
North Chennai,"Tondiarpet, Royapuram, Perambur, Madhavaram, Manali, Tiruvottiyur, Red Hills",☐,☐,☐,☐,☐,OWNER_CONFIRMATION_REQUIRED,NO — blocked until a coverage model is selected,"Travel radius, partner presence, past project or inspection evidence per zone"
South Chennai,"Adyar, Besant Nagar, Thiruvanmiyur, Velachery, Madipakkam, Pallikaranai",☐,☐,☐,☐,☐,OWNER_CONFIRMATION_REQUIRED,NO — blocked until a coverage model is selected,"Travel radius, partner presence, past project or inspection evidence per zone"
West Chennai,"Kodambakkam, Vadapalani, Ashok Nagar, KK Nagar, Saligramam, Virugambakkam",☐,☐,☐,☐,☐,OWNER_CONFIRMATION_REQUIRED,NO — blocked until a coverage model is selected,"Travel radius, partner presence, past project or inspection evidence per zone"
OMR corridor,"Perungudi, Thoraipakkam, Sholinganallur, Navalur, Siruseri, Kelambakkam, Padur",☐,☐,☐,☐,☐,OWNER_CONFIRMATION_REQUIRED,NO — blocked until a coverage model is selected,"Travel radius, partner presence, past project or inspection evidence per zone"
ECR corridor,"Kottivakkam, Palavakkam, Neelankarai, Injambakkam, Uthandi, Kovalam, Muttukadu",☐,☐,☐,☐,☐,OWNER_CONFIRMATION_REQUIRED,NO — blocked until a coverage model is selected,"Travel radius, partner presence, past project or inspection evidence per zone"
GST Road corridor,"Guindy, Alandur, Meenambakkam, Pallavaram, Chromepet, Tambaram, Perungalathur",☐,☐,☐,☐,☐,OWNER_CONFIRMATION_REQUIRED,NO — blocked until a coverage model is selected,"Travel radius, partner presence, past project or inspection evidence per zone"
Tambaram belt,"Tambaram, Selaiyur, Sembakkam, Pammal, Anakaputhur, Vandalur, Kilambakkam",☐,☐,☐,☐,☐,OWNER_CONFIRMATION_REQUIRED,NO — blocked until a coverage model is selected,"Travel radius, partner presence, past project or inspection evidence per zone"
Porur–Poonamallee belt,"Porur, Ramapuram, Manapakkam, Iyyappanthangal, Poonamallee, Mangadu, Kundrathur",☐,☐,☐,☐,☐,OWNER_CONFIRMATION_REQUIRED,NO — blocked until a coverage model is selected,"Travel radius, partner presence, past project or inspection evidence per zone"
Ambattur–Avadi belt,"Ambattur, Padi, Mogappair, Korattur, Thirumullaivoyal, Avadi, Thiruverkadu",☐,☐,☐,☐,☐,OWNER_CONFIRMATION_REQUIRED,NO — blocked until a coverage model is selected,"Travel radius, partner presence, past project or inspection evidence per zone"
Chengalpattu growth corridor,"Urapakkam, Guduvancheri, Maraimalai Nagar, Singaperumal Koil, Chengalpattu",☐,☐,☐,☐,☐,OWNER_CONFIRMATION_REQUIRED,NO — blocked until a coverage model is selected,"Travel radius, partner presence, past project or inspection evidence per zone"
Kancheepuram-side metropolitan,"Sriperumbudur, Oragadam, Kattupakkam, Kancheepuram",☐,☐,☐,☐,☐,OWNER_CONFIRMATION_REQUIRED,NO — blocked until a coverage model is selected,"Travel radius, partner presence, past project or inspection evidence per zone"
Tiruvallur-side metropolitan,"Thiruninravur, Tiruvallur, Ponneri, Minjur, Gummidipoondi",☐,☐,☐,☐,☐,OWNER_CONFIRMATION_REQUIRED,NO — blocked until a coverage model is selected,"Travel radius, partner presence, past project or inspection evidence per zone"
